Model,Scenario,Accuracy,Alignment_Score,Stability,Adaptation_Accuracy,User_Satisfaction,Agency_Preservation
Static Alignment,Gradual Drift,0.1100,0.1067,0.9581,1.2539,0.1083,0.9581
Static Alignment,Rapid Shift,0.1088,0.1092,0.9996,0.8908,0.1090,0.9996
Static Alignment,Value Conflict,0.1140,0.1129,0.9996,480001.1142,0.1135,0.9996
CEVA Basic,Gradual Drift,0.1020,0.1017,0.9919,1.3012,0.1019,0.9919
CEVA Basic,Rapid Shift,0.1016,0.1020,0.9998,160000.9435,0.1018,0.9998
CEVA Basic,Value Conflict,0.1260,0.1250,0.9999,80001.1736,0.1255,0.9999
CEVA Full,Gradual Drift,0.1136,0.1056,0.9927,1.3330,0.1096,0.9927
CEVA Full,Rapid Shift,0.1016,0.1023,0.9998,160000.9435,0.1020,0.9998
CEVA Full,Value Conflict,0.1220,0.1211,0.9998,160001.0279,0.1215,0.9998
Adaptive Alignment,Gradual Drift,0.1040,0.1043,0.9933,1.0198,0.1042,0.9933
Adaptive Alignment,Rapid Shift,0.1016,0.1020,0.9999,160000.9435,0.1018,0.9999
Adaptive Alignment,Value Conflict,0.1216,0.1203,0.9998,160001.1471,0.1210,0.9998
