Category,Metric,Value,Unit
Reproducibility,Variance Reduction,94.4,%
Reproducibility,Success Rate Improvement,35.3,%
Reproducibility,Variance (Without),0.006147,
Reproducibility,Variance (With),0.000342,
Reproducibility,Success Rate (Without),68.0,%
Reproducibility,Success Rate (With),92.0,%
Impact Tracing,F1 Score (Automated),0.938,
Impact Tracing,F1 Score (Manual),0.655,
Impact Tracing,F1 Improvement,0.283,
Impact Tracing,Precision (Automated),0.949,
Impact Tracing,Recall (Automated),0.926,
Impact Tracing,True Positives (Automated),150,count
Annotation Propagation,Propagation Rate (Temporal),95.0,%
Annotation Propagation,Propagation Rate (Manual),45.0,%
Annotation Propagation,Notification Time (Temporal),2.5,days
Annotation Propagation,Notification Time (Manual),18.0,days
Annotation Propagation,Time Reduction,15.5,days
Annotation Propagation,User Acknowledgment (Temporal),88.0,%
Annotation Propagation,User Acknowledgment (Manual),32.0,%
Statistical Signatures,Versions Tracked,5,count
Statistical Signatures,Divergences Computed,4,count
Changelog,Operations Detected,1,count
Changelog,Changelog Complete,True,boolean
