method,compression_ratio,output_similarity,memory_reduction,perf_degradation
ContinualKV,0.3,0.9918±0.0031,70.2%,0.82%
ContinualKV,0.5,0.9943±0.0021,50.0%,0.57%
ContinualKV,0.7,0.9965±0.0013,30.1%,0.35%
H2O,0.3,0.9774±0.0086,70.2%,2.26%
H2O,0.5,0.9820±0.0062,50.0%,1.80%
H2O,0.7,0.9861±0.0049,30.1%,1.39%
DynamicKV,0.3,0.9762±0.0091,75.3%,2.38%
DynamicKV,0.5,0.9800±0.0072,58.4%,2.00%
DynamicKV,0.7,0.9838±0.0059,41.7%,1.62%
SnapKV,0.3,0.9774±0.0086,70.2%,2.26%
SnapKV,0.5,0.9820±0.0062,50.0%,1.80%
SnapKV,0.7,0.9861±0.0049,30.1%,1.39%
StreamingLLM,0.3,0.3799±0.1425,70.2%,62.01%
StreamingLLM,0.5,0.5569±0.1535,50.0%,44.31%
StreamingLLM,0.7,0.7464±0.1421,30.1%,25.36%
Full KV Cache,0.3,1.0000±0.0000,0.0%,0.00%
Full KV Cache,0.5,1.0000±0.0000,0.0%,0.00%
Full KV Cache,0.7,1.0000±0.0000,0.0%,0.00%
