repo_id,stars,forks,contributors,total_commits,open_issues,closed_issues,total_issues,days_since_last_commit,commit_frequency_median_weekly
facebookresearch/detectron2,27000,7100,250,2800,280,2240,2520,3,5.38
ultralytics/yolov5,46000,15800,650,1200,45,360,405,1,2.31
open-mmlab/mmdetection,28000,9200,420,6500,380,3040,3420,2,12.5
rwightman/pytorch-image-models,30000,4700,180,2200,95,760,855,4,4.23
lucidrains/vit-pytorch,17000,2600,40,950,12,96,108,7,1.83
facebookresearch/dino,6000,980,24,180,45,360,405,15,0.35
microsoft/Swin-Transformer,13000,1900,95,420,38,304,342,8,0.81
facebookresearch/segment-anything,43000,5200,68,350,150,1200,1350,12,0.67
openai/CLIP,21000,3100,58,280,180,1440,1620,25,0.54
huggingface/transformers,120000,26000,2400,14000,650,5200,5850,1,26.92
openai/gpt-2,20000,5000,35,320,28,224,252,45,0.41
facebookresearch/fairseq,29000,6200,280,3800,245,1960,2205,5,7.31
allenai/allennlp,11500,2200,260,4200,82,656,738,90,5.38
google-research/bert,36000,9500,18,45,15,120,135,150,0.06
stanford-crfm/helm,1800,210,35,1100,68,544,612,3,2.12
openai/baselines,15000,4800,92,950,245,1960,2205,120,1.22
DLR-RM/stable-baselines3,7500,1500,120,1800,95,760,855,2,3.46
tensorflow/agents,2700,1100,95,3200,168,1344,1512,8,6.15
deepmind/acme,3400,420,28,680,42,63,105,180,0.65
google/dopamine,10000,1400,38,620,18,27,45,210,0.6
ray-project/ray,30000,5200,890,15000,1200,9600,10800,1,28.85
pytorch/pytorch,76000,20000,4100,80000,2800,22400,25200,1,153.85
tensorflow/tensorflow,181000,88000,3200,120000,2100,16800,18900,1,230.77
keras-team/keras,60000,19000,1200,8500,380,3040,3420,2,16.35
scikit-learn/scikit-learn,58000,26000,2800,27000,650,5200,5850,1,51.92
apache/mxnet,20600,6900,980,9500,920,1380,2300,450,9.13
dmlc/xgboost,25000,8700,580,5800,280,2240,2520,3,11.15
microsoft/LightGBM,16000,3800,280,2100,185,1480,1665,5,4.04
catboost/catboost,7800,1200,150,4200,95,760,855,8,8.08
explosion/spaCy,28500,4400,750,8900,250,2000,2250,1,17.12
mlflow/mlflow,17000,4100,680,11000,450,3600,4050,1,21.15
iterative/dvc,13000,1100,280,7200,280,2240,2520,2,13.85
wandb/wandb,8200,620,95,4800,145,1160,1305,3,9.23
allegroai/clearml,5200,580,68,3500,120,960,1080,4,6.73
determined-ai/determined,2800,320,45,6200,92,736,828,7,11.92
kubeflow/kubeflow,13500,5200,420,8900,680,5440,6120,5,17.12
paperswithcode/axcell,280,58,12,280,8,12,20,480,0.27
paperswithcode/galai,2600,320,24,180,28,42,70,240,0.17
facebookresearch/mmf,5300,920,88,1400,68,102,170,180,1.35
google-research/google-research,32000,7800,180,15000,42,336,378,1,28.85
microsoft/DeepSpeed,32000,3800,280,2400,380,3040,3420,1,4.62
NVIDIA/apex,8000,1300,95,950,680,5440,6120,60,1.22
apache/spark,38000,28000,2200,28000,1200,9600,10800,1,53.85
pandas-dev/pandas,42000,17000,3100,26000,3800,30400,34200,1,50.0
dask/dask,12000,1700,580,9200,820,6560,7380,1,17.69
rapidsai/cudf,7200,1400,280,8500,450,3600,4050,2,16.35
deepset-ai/haystack,14000,1800,240,3600,280,2240,2520,2,6.92
microsoft/DeepSpeedExamples,5800,920,42,680,95,760,855,15,1.31
rasbt/mlxtend,4700,860,95,950,42,336,378,30,1.22
intel/neural-compressor,4200,680,120,2800,180,1440,1620,3,5.38
onnx/onnx,17000,3600,420,4200,620,4960,5580,2,8.08
aws/sagemaker-python-sdk,2000,1100,240,7800,125,1000,1125,1,15.0
optuna/optuna,9800,960,180,3800,180,1440,1620,2,7.31
fmind/mlops-python-package,1200,240,18,580,15,120,135,45,0.74
bentoml/BentoML,6500,720,180,4800,280,2240,2520,1,9.23
nerdyrodent/VQGAN-CLIP,2600,420,24,180,38,57,95,180,0.17
CompVis/stable-diffusion,65000,12000,95,520,680,5440,6120,120,0.67
Stability-AI/stablediffusion,36000,5200,58,280,420,3360,3780,90,0.36
openai/whisper,60000,7200,280,620,220,1760,1980,15,1.19
tatsu-lab/stanford_alpaca,28000,3800,38,180,95,142,237,180,0.17
lm-sys/FastChat,35000,4200,180,1800,320,2560,2880,3,3.46
hpcaitech/ColossalAI,37000,4300,280,3200,420,3360,3780,2,6.15
pytorch/torchrec,1700,280,95,950,68,544,612,5,1.83
facebookresearch/metaseq,6300,920,62,480,125,1000,1125,60,0.62
Lightning-AI/lightning,27000,3200,920,18000,580,4640,5220,1,34.62
explosion/thinc,2800,320,68,1800,28,224,252,8,3.46
PyTorchLightning/metrics,1600,420,120,2200,125,187,312,180,2.12
ludwig-ai/ludwig,10000,1600,180,4200,180,1440,1620,12,8.08
automl/auto-sklearn,7400,1400,120,3200,180,1440,1620,30,4.1
epistasislab/tpot,9400,1500,92,1800,125,1000,1125,60,2.31
google/jax,28000,2600,520,9500,580,4640,5220,1,18.27
patrick-kidger/equinox,1900,180,28,820,32,256,288,7,1.58
deepchem/deepchem,5000,1700,240,6800,420,3360,3780,15,13.08
stellargraph/stellargraph,2900,450,58,1200,280,420,700,420,1.15
pyg-team/pytorch_geometric,20000,3600,420,6200,420,3360,3780,1,11.92
dmlc/dgl,13000,2900,280,4800,320,2560,2880,3,9.23
