repo_id,stars,forks,contributors,total_commits,open_issues,days_since_last_commit
facebookresearch/detectron2,27000,7100,250,2800,280,3
ultralytics/yolov5,46000,15800,650,1200,45,1
open-mmlab/mmdetection,28000,9200,420,6500,380,2
rwightman/pytorch-image-models,30000,4700,180,2200,95,4
lucidrains/vit-pytorch,17000,2600,40,950,12,7
facebookresearch/dino,6000,980,24,180,45,15
microsoft/Swin-Transformer,13000,1900,95,420,38,8
facebookresearch/segment-anything,43000,5200,68,350,150,12
openai/CLIP,21000,3100,58,280,180,25
huggingface/transformers,120000,26000,2400,14000,650,1
openai/gpt-2,20000,5000,35,320,28,45
facebookresearch/fairseq,29000,6200,280,3800,245,5
allenai/allennlp,11500,2200,260,4200,82,90
google-research/bert,36000,9500,18,45,15,150
stanford-crfm/helm,1800,210,35,1100,68,3
openai/baselines,15000,4800,92,950,245,120
DLR-RM/stable-baselines3,7500,1500,120,1800,95,2
tensorflow/agents,2700,1100,95,3200,168,8
deepmind/acme,3400,420,28,680,42,180
google/dopamine,10000,1400,38,620,18,210
ray-project/ray,30000,5200,890,15000,1200,1
pytorch/pytorch,76000,20000,4100,80000,2800,1
tensorflow/tensorflow,181000,88000,3200,120000,2100,1
keras-team/keras,60000,19000,1200,8500,380,2
scikit-learn/scikit-learn,58000,26000,2800,27000,650,1
apache/mxnet,20600,6900,980,9500,920,450
dmlc/xgboost,25000,8700,580,5800,280,3
microsoft/LightGBM,16000,3800,280,2100,185,5
catboost/catboost,7800,1200,150,4200,95,8
explosion/spaCy,28500,4400,750,8900,250,1
mlflow/mlflow,17000,4100,680,11000,450,1
iterative/dvc,13000,1100,280,7200,280,2
wandb/wandb,8200,620,95,4800,145,3
allegroai/clearml,5200,580,68,3500,120,4
determined-ai/determined,2800,320,45,6200,92,7
kubeflow/kubeflow,13500,5200,420,8900,680,5
paperswithcode/axcell,280,58,12,280,8,480
paperswithcode/galai,2600,320,24,180,28,240
facebookresearch/mmf,5300,920,88,1400,68,180
google-research/google-research,32000,7800,180,15000,42,1
microsoft/DeepSpeed,32000,3800,280,2400,380,1
NVIDIA/apex,8000,1300,95,950,680,60
apache/spark,38000,28000,2200,28000,1200,1
pandas-dev/pandas,42000,17000,3100,26000,3800,1
dask/dask,12000,1700,580,9200,820,1
rapidsai/cudf,7200,1400,280,8500,450,2
deepset-ai/haystack,14000,1800,240,3600,280,2
microsoft/DeepSpeedExamples,5800,920,42,680,95,15
rasbt/mlxtend,4700,860,95,950,42,30
intel/neural-compressor,4200,680,120,2800,180,3
onnx/onnx,17000,3600,420,4200,620,2
aws/sagemaker-python-sdk,2000,1100,240,7800,125,1
optuna/optuna,9800,960,180,3800,180,2
fmind/mlops-python-package,1200,240,18,580,15,45
bentoml/BentoML,6500,720,180,4800,280,1
nerdyrodent/VQGAN-CLIP,2600,420,24,180,38,180
CompVis/stable-diffusion,65000,12000,95,520,680,120
Stability-AI/stablediffusion,36000,5200,58,280,420,90
openai/whisper,60000,7200,280,620,220,15
tatsu-lab/stanford_alpaca,28000,3800,38,180,95,180
lm-sys/FastChat,35000,4200,180,1800,320,3
hpcaitech/ColossalAI,37000,4300,280,3200,420,2
pytorch/torchrec,1700,280,95,950,68,5
facebookresearch/metaseq,6300,920,62,480,125,60
Lightning-AI/lightning,27000,3200,920,18000,580,1
explosion/thinc,2800,320,68,1800,28,8
PyTorchLightning/metrics,1600,420,120,2200,125,180
ludwig-ai/ludwig,10000,1600,180,4200,180,12
automl/auto-sklearn,7400,1400,120,3200,180,30
epistasislab/tpot,9400,1500,92,1800,125,60
google/jax,28000,2600,520,9500,580,1
patrick-kidger/equinox,1900,180,28,820,32,7
deepchem/deepchem,5000,1700,240,6800,420,15
stellargraph/stellargraph,2900,450,58,1200,280,420
pyg-team/pytorch_geometric,20000,3600,420,6200,420,1
dmlc/dgl,13000,2900,280,4800,320,3
facebookresearch/hydra,8400,1100,180,2400,320,5
omry/omegaconf,1800,180,45,920,82,8
willmcgugan/rich,47000,1700,240,2800,95,1
tiangolo/fastapi,72000,6100,580,5200,920,1
encode/httpx,12000,920,180,1800,280,2
aio-libs/aiohttp,15000,2000,680,7800,320,1
jina-ai/jina,20000,2100,180,5800,380,2
microsoft/nni,13000,1800,240,4200,420,8
feast-dev/feast,5300,920,280,6200,380,2
horovod/horovod,14000,2200,180,2800,680,120
allegroai/trains,5500,580,82,4800,125,240
Netflix/metaflow,7700,1100,95,2400,180,12
lucidrains/DALLE2-pytorch,10000,1200,18,420,68,90
borisdayma/dalle-mini,14000,1900,35,280,120,240
huggingface/diffusers,23000,4700,420,4200,520,1
microsoft/unilm,18000,3200,95,1400,180,45
salesforce/LAVIS,8600,1200,82,820,220,12
facebookresearch/llama,52000,5200,18,120,0,180
google-research/vision_transformer,9600,2100,42,320,58,60
rwightman/efficientnet-jax,780,120,8,180,5,240
microsoft/COCO-LM,520,95,12,120,8,420
