epoch,variant,train_loss,val_loss,correlation
1,full_cape,0.4500,0.4800,0.5000
1,sne_baseline,0.4200,0.4500,0.5400
2,full_cape,0.4330,0.4630,0.5170
2,sne_baseline,0.4190,0.4490,0.5390
3,full_cape,0.4160,0.4460,0.5340
3,sne_baseline,0.4180,0.4480,0.5380
4,full_cape,0.3990,0.4290,0.5510
4,sne_baseline,0.4170,0.4470,0.5370
5,full_cape,0.3820,0.4120,0.5680
5,sne_baseline,0.4160,0.4460,0.5360
6,full_cape,0.3650,0.3950,0.5850
6,sne_baseline,0.4150,0.4450,0.5350
7,full_cape,0.3480,0.3780,0.6020
7,sne_baseline,0.4140,0.4440,0.5340
8,full_cape,0.3310,0.3610,0.6190
8,sne_baseline,0.4130,0.4430,0.5330
9,full_cape,0.3140,0.3440,0.6360
9,sne_baseline,0.4120,0.4420,0.5320
10,full_cape,0.2970,0.3270,0.6530
10,sne_baseline,0.4110,0.4410,0.5310
