model,Factor_1,Factor_2
Baichuan2-13B,-0.10324396490219416,-0.34266966768432416
ChatGLM3-6B,-0.5874905779572315,-1.6351245319784444
Claude-2,0.49718017927957836,1.5920972579375774
Claude-instant,1.611904744296072,-0.455477458668626
DeepSeek-67B,0.29285183301149764,-0.09452789961647572
Falcon-40B,-1.0720514049520034,-0.696926119130399
GPT-3.5-Turbo,0.9992916146061034,1.3357385750995872
GPT-4,-1.1889032093882848,2.4733115617191532
Gemma-7B,-0.02144694275421663,-0.5940243223161078
InternLM-20B,0.6119198936492718,0.25403235992535794
Llama-2-13B,-0.04352456723592951,-0.602542132419368
Llama-2-70B,-1.7352290512487178,1.078796659630183
Llama-2-7B,-0.6578981346528648,-0.22830343203663897
MPT-30B,-0.9355281205397853,-1.1065849194399904
Mistral-7B,1.6867438207819068,-0.2982254810147591
OpenChat-3.5,-1.4253999929774548,0.4587857299392956
PaLM-2,1.7854293276830584,0.7099925725250654
Phi-2,-0.7313254040946441,-0.7530082129697853
Qwen-14B,0.5291785022870513,-0.5279280737848061
Vicuna-13B,0.02207016808684792,-1.1640080947692155
Yi-34B,0.4654712870219355,0.5965956290527232
