,TruthfulQA,FinTrust,MultiTrust,TrustBench-Ethics,BiasEval,TrustLLM-Safety,HaluBench,FaithfulQA,TrustLLM-Truthfulness,SafetyBench
TruthfulQA,1.0,0.7214285714285712,0.6214285714285712,0.5107142857142856,-0.03214285714285714,0.2928571428571428,0.4142857142857142,-0.2928571428571428,0.15714285714285714,-0.3789098921424512
FinTrust,0.7214285714285712,1.0,0.46071428571428563,0.5678571428571427,-0.04285714285714285,0.3285714285714285,-0.007142857142857141,-0.5678571428571427,-0.23928571428571427,0.08400360816365662
MultiTrust,0.6214285714285712,0.46071428571428563,1.0,0.2964285714285714,0.4357142857142856,0.4892857142857142,0.24285714285714283,-0.14285714285714282,0.2821428571428571,-0.14119755414742285
TrustBench-Ethics,0.5107142857142856,0.5678571428571427,0.2964285714285714,1.0,-0.3321428571428571,0.4142857142857142,0.2821428571428571,-0.557142857142857,0.18928571428571428,0.25379813530296264
BiasEval,-0.03214285714285714,-0.04285714285714285,0.4357142857142856,-0.3321428571428571,1.0,-0.03214285714285714,0.3,-0.15714285714285714,0.2714285714285714,-0.0035746216239853886
TrustLLM-Safety,0.2928571428571428,0.3285714285714285,0.4892857142857142,0.4142857142857142,-0.03214285714285714,1.0,0.11785714285714284,-0.16428571428571426,0.06428571428571428,-0.26809662179890414
HaluBench,0.4142857142857142,-0.007142857142857141,0.24285714285714283,0.2821428571428571,0.3,0.11785714285714284,1.0,-0.16785714285714282,0.6035714285714285,-0.23413771637104297
FaithfulQA,-0.2928571428571428,-0.5678571428571427,-0.14285714285714282,-0.557142857142857,-0.15714285714285714,-0.16428571428571426,-0.16785714285714282,1.0,0.06071428571428571,-0.21983922987510138
TrustLLM-Truthfulness,0.15714285714285714,-0.23928571428571427,0.2821428571428571,0.18928571428571428,0.2714285714285714,0.06428571428571428,0.6035714285714285,0.06071428571428571,1.0,-0.29311897316680185
SafetyBench,-0.3789098921424512,0.08400360816365662,-0.14119755414742285,0.25379813530296264,-0.0035746216239853886,-0.26809662179890414,-0.23413771637104297,-0.21983922987510138,-0.29311897316680185,1.0
