repo_id,sample_year,t0_method,dcs_data_context,dcs_preprocessing,dcs_licensing,dcs_3_total,compliant
user/dataset-000,2024,tier1,0.0,0.5,0.0,0.5,False
user/dataset-001,2024,tier3,0.0,0.5,0.0,0.5,False
user/dataset-002,2023,tier3,0.0,0.0,0.0,0.0,False
user/dataset-003,2022,tier2,0.5,0.5,0.5,1.5,False
user/dataset-004,2022,tier1,0.5,0.0,0.5,1.0,False
user/dataset-005,2024,tier2,0.5,0.0,0.0,0.5,False
user/dataset-006,2022,tier3,0.0,0.0,0.5,0.5,False
user/dataset-007,2023,tier2,1.0,0.5,0.0,1.5,False
user/dataset-008,2022,tier2,0.5,1.0,0.0,1.5,False
user/dataset-009,2024,tier2,0.0,0.0,0.0,0.0,False
user/dataset-010,2022,tier2,1.0,1.0,0.0,2.0,False
user/dataset-011,2024,tier3,1.0,0.0,0.0,1.0,False
user/dataset-012,2023,tier3,1.0,0.5,0.0,1.5,False
user/dataset-013,2022,tier2,0.5,0.0,0.0,0.5,False
user/dataset-014,2024,tier1,1.0,0.0,0.0,1.0,False
user/dataset-015,2022,tier1,1.0,1.0,0.0,2.0,False
user/dataset-016,2022,tier1,1.0,0.5,0.5,2.0,False
user/dataset-017,2024,tier1,0.5,1.0,0.0,1.5,False
user/dataset-018,2023,tier3,0.0,0.5,0.0,0.5,False
user/dataset-019,2024,tier1,0.5,0.5,0.0,1.0,False
user/dataset-020,2024,tier1,0.5,0.5,0.5,1.5,False
user/dataset-021,2024,tier2,0.0,0.5,0.0,0.5,False
user/dataset-022,2023,tier3,0.5,0.0,0.0,0.5,False
user/dataset-023,2022,tier2,1.0,0.0,0.5,1.5,False
user/dataset-024,2024,tier1,0.5,0.0,0.0,0.5,False
user/dataset-025,2024,tier1,1.0,0.0,0.0,1.0,False
user/dataset-026,2024,tier3,1.0,1.0,0.0,2.0,False
user/dataset-027,2024,tier3,1.0,0.0,0.5,1.5,False
user/dataset-028,2024,tier1,1.0,0.5,0.0,1.5,False
user/dataset-029,2023,tier1,1.0,1.0,0.0,2.0,False
user/dataset-030,2022,tier2,1.0,1.0,0.0,2.0,False
user/dataset-031,2022,tier3,1.0,0.5,0.0,1.5,False
user/dataset-032,2023,tier3,1.0,0.0,0.0,1.0,False
user/dataset-033,2023,tier3,1.0,1.0,0.5,2.5,True
user/dataset-034,2022,tier2,1.0,0.0,0.0,1.0,False
user/dataset-035,2023,tier1,1.0,0.0,0.0,1.0,False
user/dataset-036,2023,tier1,0.0,0.5,0.0,0.5,False
user/dataset-037,2022,tier1,1.0,0.0,0.0,1.0,False
user/dataset-038,2023,tier1,0.0,0.0,0.0,0.0,False
user/dataset-039,2024,tier2,0.0,1.0,0.0,1.0,False
user/dataset-040,2022,tier1,1.0,1.0,0.0,2.0,False
user/dataset-041,2024,tier3,0.5,0.0,0.0,0.5,False
user/dataset-042,2022,tier2,1.0,1.0,0.0,2.0,False
user/dataset-043,2024,tier1,0.5,1.0,0.0,1.5,False
user/dataset-044,2024,tier1,0.5,0.0,0.0,0.5,False
user/dataset-045,2022,tier1,0.5,1.0,0.0,1.5,False
user/dataset-046,2024,tier1,1.0,1.0,1.0,3.0,True
user/dataset-047,2022,tier1,0.5,0.0,0.5,1.0,False
user/dataset-048,2022,tier2,0.5,1.0,0.0,1.5,False
user/dataset-049,2023,tier3,0.5,1.0,1.0,2.5,True
user/dataset-050,2024,tier1,1.0,0.0,0.0,1.0,False
user/dataset-051,2024,tier1,1.0,0.0,0.0,1.0,False
user/dataset-052,2024,tier1,0.5,1.0,0.0,1.5,False
user/dataset-053,2024,tier3,0.0,0.0,0.0,0.0,False
user/dataset-054,2022,tier3,0.5,1.0,0.0,1.5,False
user/dataset-055,2024,tier3,0.0,0.0,0.0,0.0,False
user/dataset-056,2024,tier2,0.5,0.0,0.0,0.5,False
user/dataset-057,2022,tier2,0.0,0.0,0.0,0.0,False
user/dataset-058,2023,tier3,1.0,1.0,0.0,2.0,False
user/dataset-059,2024,tier2,1.0,0.0,0.0,1.0,False
user/dataset-060,2022,tier2,1.0,1.0,0.5,2.5,True
user/dataset-061,2023,tier3,0.0,1.0,0.5,1.5,False
user/dataset-062,2024,tier3,0.5,0.5,0.0,1.0,False
user/dataset-063,2022,tier1,1.0,0.0,0.0,1.0,False
user/dataset-064,2024,tier3,0.5,0.0,0.0,0.5,False
user/dataset-065,2023,tier2,0.0,0.5,0.0,0.5,False
user/dataset-066,2023,tier2,1.0,1.0,0.0,2.0,False
user/dataset-067,2023,tier2,0.0,0.0,0.0,0.0,False
user/dataset-068,2022,tier1,1.0,0.5,0.0,1.5,False
user/dataset-069,2022,tier3,0.0,1.0,1.0,2.0,False
user/dataset-070,2022,tier1,1.0,0.5,0.0,1.5,False
user/dataset-071,2022,tier1,0.5,1.0,0.5,2.0,False
user/dataset-072,2023,tier3,0.0,0.0,0.0,0.0,False
user/dataset-073,2023,tier1,1.0,0.5,1.0,2.5,True
user/dataset-074,2022,tier1,1.0,1.0,0.5,2.5,True
user/dataset-075,2022,tier3,1.0,0.0,1.0,2.0,False
user/dataset-076,2024,tier1,1.0,0.0,0.5,1.5,False
user/dataset-077,2023,tier2,1.0,1.0,0.0,2.0,False
user/dataset-078,2023,tier1,0.5,0.5,0.0,1.0,False
user/dataset-079,2024,tier2,0.0,0.0,0.5,0.5,False
user/dataset-080,2023,tier3,1.0,0.0,1.0,2.0,False
user/dataset-081,2023,tier1,1.0,0.0,1.0,2.0,False
user/dataset-082,2024,tier2,1.0,0.0,0.0,1.0,False
user/dataset-083,2023,tier3,1.0,0.0,0.0,1.0,False
user/dataset-084,2022,tier3,0.5,0.5,0.0,1.0,False
user/dataset-085,2023,tier3,0.0,1.0,0.0,1.0,False
user/dataset-086,2024,tier3,1.0,0.0,0.0,1.0,False
user/dataset-087,2023,tier2,1.0,0.5,0.0,1.5,False
user/dataset-088,2024,tier2,0.5,0.0,0.0,0.5,False
user/dataset-089,2024,tier3,0.0,0.0,1.0,1.0,False
user/dataset-090,2024,tier3,1.0,0.5,0.0,1.5,False
user/dataset-091,2022,tier3,0.5,0.0,0.5,1.0,False
user/dataset-092,2024,tier3,0.5,0.0,0.0,0.5,False
user/dataset-093,2023,tier3,1.0,1.0,0.5,2.5,True
user/dataset-094,2022,tier1,0.0,0.5,0.0,0.5,False
user/dataset-095,2022,tier1,1.0,0.0,0.0,1.0,False
user/dataset-096,2022,tier1,0.0,0.0,0.5,0.5,False
