repo_id,coder,dcs_data_context,dcs_preprocessing,dcs_licensing,dcs_3_total,compliant
user/dataset-083,coder1,1.0,0.0,0.0,1.0,False
user/dataset-083,coder2,1.0,0.0,0.0,1.0,False
user/dataset-053,coder1,0.0,0.0,0.0,0.0,False
user/dataset-053,coder2,0.0,0.0,0.0,0.0,False
user/dataset-070,coder1,1.0,0.5,0.0,1.5,False
user/dataset-070,coder2,1.0,0.5,0.0,1.5,False
user/dataset-045,coder1,0.5,1.0,0.0,1.5,False
user/dataset-045,coder2,0.5,1.0,0.0,1.5,False
user/dataset-044,coder1,0.5,0.0,0.0,0.5,False
user/dataset-044,coder2,0.5,0.0,0.0,0.5,False
user/dataset-039,coder1,0.0,1.0,0.0,1.0,False
user/dataset-039,coder2,0.0,1.0,0.0,1.0,False
user/dataset-022,coder1,0.5,0.0,0.0,0.5,False
user/dataset-022,coder2,0.5,0.0,0.0,0.5,False
user/dataset-080,coder1,1.0,0.0,1.0,2.0,False
user/dataset-080,coder2,1.0,0.0,1.0,2.0,False
user/dataset-010,coder1,1.0,1.0,0.0,2.0,False
user/dataset-010,coder2,1.0,1.0,0.0,2.0,False
user/dataset-000,coder1,0.0,0.5,0.0,0.5,False
user/dataset-000,coder2,0.0,0.5,0.0,0.5,False
user/dataset-018,coder1,0.0,0.5,0.0,0.5,False
user/dataset-018,coder2,0.0,0.5,0.0,0.5,False
user/dataset-030,coder1,1.0,1.0,0.0,2.0,False
user/dataset-030,coder2,1.0,1.0,0.0,2.0,False
user/dataset-073,coder1,1.0,0.5,1.0,2.5,True
user/dataset-073,coder2,1.0,0.5,1.0,2.5,True
user/dataset-033,coder1,1.0,1.0,0.5,2.5,True
user/dataset-033,coder2,1.0,1.0,0.5,2.5,True
user/dataset-090,coder1,1.0,0.5,0.0,1.5,False
user/dataset-090,coder2,1.0,0.5,0.0,1.5,False
user/dataset-004,coder1,0.5,0.0,0.5,1.0,False
user/dataset-004,coder2,0.5,0.0,0.5,1.0,False
user/dataset-076,coder1,1.0,0.0,0.5,1.5,False
user/dataset-076,coder2,1.0,0.0,0.5,1.5,False
user/dataset-077,coder1,1.0,1.0,0.0,2.0,False
user/dataset-077,coder2,1.0,1.0,0.0,2.0,False
user/dataset-012,coder1,1.0,0.5,0.0,1.5,False
user/dataset-012,coder2,1.0,0.5,0.0,1.5,False
user/dataset-031,coder1,1.0,0.5,0.0,1.5,False
user/dataset-031,coder2,1.0,0.5,0.0,1.5,False
