paper_id,benchmark,publication_date,first_reproduction_date,reproduced_within_12m,time_to_reproduction_days,env_file,pinned_deps,dockerfile,doc_score,pub_year,log_model_params,benchmark_family,task_domain,included_in_analysis
paper_0000,CIFAR-100,2019-08-01,2019-10-13,True,73,True,True,True,3,2019,8.637804369378767,CIFAR-100,Reinforcement Learning,True
paper_0001,SQuAD,2019-12-01,2020-02-21,True,82,True,False,True,2,2019,7.14441417279331,SQuAD,Reinforcement Learning,True
paper_0002,WikiText,2024-12-01,2025-04-29,True,149,True,True,False,2,2024,8.751396036691343,WikiText,Computer Vision,True
paper_0003,ImageNet,2023-03-01,2024-04-04,False,400,False,False,False,0,2023,5.797804487300333,ImageNet,Reinforcement Learning,True
paper_0004,WikiText,2019-02-01,2020-03-07,False,400,False,False,True,1,2019,7.293766695985863,WikiText,Reinforcement Learning,True
paper_0005,PTB,2023-10-01,2024-09-30,True,365,True,True,True,3,2023,4.8334115729262255,PTB,Computer Vision,True
paper_0006,SQuAD,2023-01-01,2023-08-12,True,223,True,False,True,2,2023,9.223352577681736,SQuAD,Computer Vision,True
paper_0007,CIFAR-100,2022-05-01,2022-12-22,True,235,True,True,True,3,2022,7.776024358986117,CIFAR-100,NLP,True
paper_0008,WikiText,2023-07-01,2023-07-08,True,7,True,True,False,2,2023,9.591190927791883,WikiText,NLP,True
paper_0009,GLUE,2020-07-01,2020-10-04,True,95,True,False,True,2,2020,5.949818222378271,GLUE,Computer Vision,True
paper_0010,GLUE,2023-12-01,2025-01-04,False,400,False,False,False,0,2023,10.316373305864055,GLUE,NLP,True
paper_0011,PTB,2022-09-01,2023-07-04,True,306,True,False,False,1,2022,7.488470726082115,PTB,Speech,True
paper_0012,CIFAR-100,2021-11-01,2022-01-10,True,70,False,False,True,1,2021,7.158709354469282,CIFAR-100,Computer Vision,True
paper_0013,ImageNet,2020-08-01,2021-09-05,False,400,True,False,False,1,2020,5.890791061066325,ImageNet,Speech,True
paper_0014,WMT,2020-12-01,2021-03-17,True,106,True,True,False,2,2020,7.481942710522219,WMT,Reinforcement Learning,True
paper_0015,ImageNet,2024-06-01,2024-10-17,True,138,True,False,False,1,2024,6.7618612792900805,ImageNet,Computer Vision,True
paper_0016,CIFAR-10,2022-03-01,2022-05-17,True,77,True,False,False,1,2022,9.747178831270759,CIFAR-10,Reinforcement Learning,True
paper_0017,SQuAD,2020-10-01,2021-11-05,False,400,True,False,True,2,2020,9.852912717240644,SQuAD,Speech,True
paper_0018,CIFAR-10,2023-05-01,2024-04-30,True,365,True,True,True,3,2023,8.36926771706461,CIFAR-10,Computer Vision,True
paper_0019,CIFAR-100,2023-04-01,2023-04-16,True,15,False,False,True,1,2023,8.211527294055522,CIFAR-100,Reinforcement Learning,True
paper_0020,SQuAD,2020-02-01,2020-05-30,True,119,True,True,False,2,2020,6.571297163947264,SQuAD,Reinforcement Learning,True
paper_0021,ImageNet,2023-03-01,2024-04-04,False,400,True,False,False,1,2023,7.949424748857744,ImageNet,Reinforcement Learning,True
paper_0022,CIFAR-100,2021-06-01,2022-07-06,False,400,True,False,False,1,2021,6.368379430069123,CIFAR-100,Speech,True
paper_0023,ImageNet,2022-04-01,2022-04-05,True,4,True,False,True,2,2022,8.78867990292966,ImageNet,Reinforcement Learning,True
paper_0024,GLUE,2024-01-01,2025-02-04,False,400,False,False,True,1,2024,9.480681635895477,GLUE,Speech,True
paper_0025,CIFAR-100,2023-03-01,2024-04-04,False,400,True,False,False,1,2023,7.4639632963142555,CIFAR-100,NLP,True
