defect_id,strategy,detected,execution_time,defect_type,violation_count
J-001,structural_only,True,0.001,structural,1
J-001,metamorphic_only,False,0.0037,structural,0
J-001,combined,True,0.0037,structural,1
J-002,structural_only,True,0.001,structural,1
J-002,metamorphic_only,False,0.0037,structural,0
J-002,combined,True,0.0037,structural,1
J-003,structural_only,True,0.001,structural,1
J-003,metamorphic_only,False,0.0037,structural,0
J-003,combined,True,0.0037,structural,1
J-004,structural_only,True,0.001,structural,1
J-004,metamorphic_only,False,0.0037,structural,0
J-004,combined,True,0.0037,structural,1
J-005,structural_only,True,0.001,structural,1
J-005,metamorphic_only,False,0.0037,structural,0
J-005,combined,True,0.0037,structural,1
J-006,structural_only,True,0.001,structural,1
J-006,metamorphic_only,False,0.0037,structural,0
J-006,combined,True,0.0037,structural,1
J-007,structural_only,True,0.001,structural,1
J-007,metamorphic_only,False,0.0037,structural,0
J-007,combined,True,0.0037,structural,1
J-008,structural_only,True,0.001,structural,1
J-008,metamorphic_only,False,0.0037,structural,0
J-008,combined,True,0.0037,structural,1
J-009,structural_only,True,0.001,structural,1
J-009,metamorphic_only,False,0.0037,structural,0
J-009,combined,True,0.0037,structural,1
J-010,structural_only,True,0.001,structural,1
J-010,metamorphic_only,False,0.0037,structural,0
J-010,combined,True,0.0037,structural,1
J-011,structural_only,True,0.001,structural,1
J-011,metamorphic_only,False,0.0037,structural,0
J-011,combined,True,0.0037,structural,1
J-012,structural_only,True,0.001,structural,1
J-012,metamorphic_only,False,0.0037,structural,0
J-012,combined,True,0.0037,structural,1
J-013,structural_only,True,0.001,structural,1
J-013,metamorphic_only,False,0.0037,structural,0
J-013,combined,True,0.0037,structural,1
J-014,structural_only,True,0.001,structural,1
J-014,metamorphic_only,False,0.0037,structural,0
J-014,combined,True,0.0037,structural,1
J-015,structural_only,True,0.001,structural,1
J-015,metamorphic_only,False,0.0037,structural,0
J-015,combined,True,0.0037,structural,1
J-016,structural_only,True,0.001,structural,1
J-016,metamorphic_only,False,0.0037,structural,0
J-016,combined,True,0.0037,structural,1
J-017,structural_only,True,0.001,structural,1
J-017,metamorphic_only,False,0.0037,structural,0
J-017,combined,True,0.0037,structural,1
J-018,structural_only,True,0.001,structural,1
J-018,metamorphic_only,False,0.0037,structural,0
J-018,combined,True,0.0037,structural,1
J-019,structural_only,True,0.001,structural,1
J-019,metamorphic_only,False,0.0037,structural,0
J-019,combined,True,0.0037,structural,1
J-020,structural_only,True,0.001,structural,1
J-020,metamorphic_only,False,0.0037,structural,0
J-020,combined,True,0.0037,structural,1
J-021,structural_only,True,0.001,structural,1
J-021,metamorphic_only,False,0.0037,structural,0
J-021,combined,True,0.0037,structural,1
J-022,structural_only,True,0.001,structural,1
J-022,metamorphic_only,False,0.0037,structural,0
J-022,combined,True,0.0037,structural,1
J-023,structural_only,True,0.001,structural,1
J-023,metamorphic_only,False,0.0037,structural,0
J-023,combined,True,0.0037,structural,1
J-024,structural_only,True,0.001,structural,1
J-024,metamorphic_only,False,0.0037,structural,0
J-024,combined,True,0.0037,structural,1
J-025,structural_only,True,0.001,structural,1
J-025,metamorphic_only,False,0.0037,structural,0
J-025,combined,True,0.0037,structural,1
J-026,structural_only,True,0.001,structural,1
J-026,metamorphic_only,False,0.0037,structural,0
J-026,combined,True,0.0037,structural,1
J-027,structural_only,True,0.001,structural,1
J-027,metamorphic_only,False,0.0037,structural,0
J-027,combined,True,0.0037,structural,1
J-028,structural_only,True,0.001,structural,1
J-028,metamorphic_only,False,0.0037,structural,0
J-028,combined,True,0.0037,structural,1
J-029,structural_only,True,0.001,structural,1
J-029,metamorphic_only,False,0.0037,structural,0
J-029,combined,True,0.0037,structural,1
J-030,structural_only,True,0.001,structural,1
J-030,metamorphic_only,False,0.0037,structural,0
J-030,combined,True,0.0037,structural,1
J-031,structural_only,True,0.001,structural,1
J-031,metamorphic_only,False,0.0037,structural,0
J-031,combined,True,0.0037,structural,1
J-032,structural_only,True,0.001,structural,1
J-032,metamorphic_only,False,0.0037,structural,0
J-032,combined,True,0.0037,structural,1
J-033,structural_only,True,0.001,structural,1
J-033,metamorphic_only,False,0.0037,structural,0
J-033,combined,True,0.0037,structural,1
J-034,structural_only,True,0.001,structural,1
J-034,metamorphic_only,False,0.0037,structural,0
J-034,combined,True,0.0037,structural,1
J-035,structural_only,True,0.001,structural,1
J-035,metamorphic_only,False,0.0037,structural,0
J-035,combined,True,0.0037,structural,1
J-036,structural_only,True,0.001,structural,1
J-036,metamorphic_only,False,0.0037,structural,0
J-036,combined,True,0.0037,structural,1
J-037,structural_only,True,0.001,structural,1
J-037,metamorphic_only,False,0.0037,structural,0
J-037,combined,True,0.0037,structural,1
J-038,structural_only,True,0.001,structural,1
J-038,metamorphic_only,False,0.0037,structural,0
J-038,combined,True,0.0037,structural,1
J-039,structural_only,True,0.001,structural,1
J-039,metamorphic_only,False,0.0037,structural,0
J-039,combined,True,0.0037,structural,1
J-040,structural_only,True,0.001,structural,1
J-040,metamorphic_only,False,0.0037,structural,0
J-040,combined,True,0.0037,structural,1
J-041,structural_only,True,0.001,structural,1
J-041,metamorphic_only,False,0.0037,structural,0
J-041,combined,True,0.0037,structural,1
J-042,structural_only,True,0.001,structural,1
J-042,metamorphic_only,False,0.0037,structural,0
J-042,combined,True,0.0037,structural,1
J-043,structural_only,True,0.001,structural,1
J-043,metamorphic_only,False,0.0037,structural,0
J-043,combined,True,0.0037,structural,1
J-044,structural_only,True,0.001,structural,1
J-044,metamorphic_only,False,0.0037,structural,0
J-044,combined,True,0.0037,structural,1
J-045,structural_only,True,0.001,structural,1
J-045,metamorphic_only,False,0.0037,structural,0
J-045,combined,True,0.0037,structural,1
J-046,structural_only,True,0.001,structural,1
J-046,metamorphic_only,False,0.0037,structural,0
J-046,combined,True,0.0037,structural,1
J-047,structural_only,True,0.001,structural,1
J-047,metamorphic_only,False,0.0037,structural,0
J-047,combined,True,0.0037,structural,1
J-048,structural_only,True,0.001,structural,1
J-048,metamorphic_only,False,0.0037,structural,0
J-048,combined,True,0.0037,structural,1
J-049,structural_only,True,0.001,structural,1
J-049,metamorphic_only,False,0.0037,structural,0
J-049,combined,True,0.0037,structural,1
J-050,structural_only,True,0.001,structural,1
J-050,metamorphic_only,False,0.0037,structural,0
J-050,combined,True,0.0037,structural,1
