defect_id,contractable,execution_time
J-281,True,0.00010061264038085938
J-282,True,1.239776611328125e-05
J-283,True,1.2636184692382812e-05
J-284,True,6.9141387939453125e-06
J-285,True,6.67572021484375e-06
J-286,True,5.4836273193359375e-06
J-287,False,0.0
J-288,False,0.0
J-289,False,0.0
J-290,True,6.9141387939453125e-06
J-291,True,8.58306884765625e-06
J-292,True,5.4836273193359375e-06
J-293,True,5.245208740234375e-06
J-294,True,5.0067901611328125e-06
J-295,True,5.4836273193359375e-06
J-296,False,0.0
J-297,False,0.0
J-298,False,0.0
J-299,False,0.0
J-300,True,4.76837158203125e-06
J-301,True,8.106231689453125e-06
J-302,True,5.0067901611328125e-06
J-303,True,5.245208740234375e-06
J-304,True,4.291534423828125e-06
J-305,True,5.245208740234375e-06
J-306,True,6.67572021484375e-06
J-307,True,5.245208740234375e-06
J-308,True,4.76837158203125e-06
J-309,True,6.198883056640625e-06
J-310,True,4.76837158203125e-06
J-311,True,5.0067901611328125e-06
J-312,True,4.291534423828125e-06
J-313,True,9.5367431640625e-06
J-314,True,4.291534423828125e-06
J-315,True,5.245208740234375e-06
J-316,True,4.76837158203125e-06
J-317,True,6.9141387939453125e-06
J-318,True,4.291534423828125e-06
J-319,True,5.0067901611328125e-06
J-320,True,4.5299530029296875e-06
J-321,True,5.4836273193359375e-06
J-322,True,4.76837158203125e-06
J-323,True,5.0067901611328125e-06
J-324,True,4.291534423828125e-06
J-325,True,5.0067901611328125e-06
J-326,True,1.0251998901367188e-05
J-327,True,5.0067901611328125e-06
J-328,True,4.5299530029296875e-06
J-329,True,4.76837158203125e-06
J-330,True,4.5299530029296875e-06
J-331,True,7.152557373046875e-06
J-332,True,4.0531158447265625e-06
J-333,True,5.245208740234375e-06
J-334,True,4.0531158447265625e-06
J-335,True,4.76837158203125e-06
J-336,True,4.291534423828125e-06
J-337,True,4.76837158203125e-06
J-338,True,6.4373016357421875e-06
J-339,True,5.245208740234375e-06
J-340,True,4.0531158447265625e-06
J-341,True,5.0067901611328125e-06
J-342,True,4.291534423828125e-06
J-343,True,5.0067901611328125e-06
J-344,True,4.5299530029296875e-06
J-345,True,4.76837158203125e-06
J-346,True,4.291534423828125e-06
J-347,True,5.4836273193359375e-06
J-348,True,4.291534423828125e-06
