method,dataset,seed,test_wg_acc,test_avg_acc,test_group_accs,training_time_hours
ERM,ColoredMNIST,42,0.9379703534777651,0.9519,"[0.994263862332696, 0.9553726169844021, 0.9379703534777651, 1.0]",0.06875600165790982
ERM,ColoredMNIST,123,0.9490639965171963,0.9565,"[0.998165137614679, 0.9490639965171963, 0.9558287795992714, 0.9872068230277186]",0.06980637967586517
ERM,ColoredMNIST,456,0.9424769263790513,0.9501,"[0.9916666666666667, 0.9424769263790513, 0.9483192316487538, 0.9979508196721312]",0.06961439523431989
SAM,ColoredMNIST,42,0.9614595210946408,0.9712,"[0.9980879541108987, 0.9748700173310225, 0.9614595210946408, 0.9957983193277311]",0.14304504719045427
SAM,ColoredMNIST,123,0.9626593806921676,0.9704,"[1.0, 0.9721375707444493, 0.9626593806921676, 0.9914712153518124]",0.14194812423653072
SAM,ColoredMNIST,456,0.9604390578550195,0.9694,"[0.9958333333333333, 0.9718823781927453, 0.9604390578550195, 1.0]",0.14498568197091422
SWA,ColoredMNIST,42,0.0,0.5139,"[1.0, 1.0, 0.0, 0.0]",0.07124617026911842
SWA,ColoredMNIST,123,0.0,0.5144,"[1.0, 1.0, 0.001138433515482696, 0.0]",0.07131132702032725
SWA,ColoredMNIST,456,0.18316944889092157,0.6213,"[1.0, 0.9969950633183087, 0.18316944889092157, 0.5881147540983607]",0.07161716924773322
Joint,ColoredMNIST,42,0.007525655644241733,0.5185,"[1.0, 1.0, 0.007525655644241733, 0.0273109243697479]",0.1417915015750461
Joint,ColoredMNIST,123,0.0610200364298725,0.5648,"[1.0, 0.9993469743143231, 0.0610200364298725, 0.5202558635394456]",0.14545877900388507
Joint,ColoredMNIST,456,0.7190384202618587,0.8112,"[0.8166666666666667, 0.7190384202618587, 0.888406128515893, 0.9938524590163934]",0.14929334163665772
Sequential,ColoredMNIST,42,0.9587229190421893,0.9735,"[0.9980879541108987, 0.983102253032929, 0.9587229190421893, 0.9894957983193278]",0.1314341174893909
Sequential,ColoredMNIST,123,0.9155282331511839,0.9568,"[1.0, 0.9886808881149325, 0.9155282331511839, 0.9808102345415778]",0.1319497483306461
Sequential,ColoredMNIST,456,0.9339126457809285,0.9676,"[0.9979166666666667, 0.9933462116333978, 0.9339126457809285, 0.9938524590163934]",0.13241419970989227
