method,seed,sparsity,test_acc,worst_group_acc,num_params,num_nonzero_params,actual_sparsity
ERM,42,0.0,0.8685,0.7878464818763327,1091346,1091346,0.0
ERM,42,0.1,0.8688,0.7963752665245203,1091346,982303,0.09991606694852045
ERM,42,0.2,0.8682,0.7921108742004265,1091346,873260,0.1998321338970409
ERM,42,0.3,0.8707,0.7899786780383795,1091346,764217,0.29974820084556136
ERM,42,0.4,0.8678,0.794841735052755,1091346,655174,0.3996642677940818
ERM,42,0.5,0.8704,0.8006396588486141,1091346,546130,0.4995812510422909
ERM,42,0.6,0.8696,0.778125,1091346,437087,0.5994973179908113
ERM,42,0.7,0.8692,0.7458333333333333,1091346,328044,0.6994133849393318
ERM,42,0.8,0.8584,0.7408184679958028,1091346,219001,0.7993294518878522
ERM,42,0.9,0.7959,0.546694648478489,1091346,109958,0.8992455188363727
ERM,43,0.0,0.8665,0.7473347547974414,1091346,1091346,0.0
ERM,43,0.1,0.8667,0.753731343283582,1091346,982303,0.09991606694852045
ERM,43,0.2,0.8645,0.7334754797441365,1091346,873260,0.1998321338970409
ERM,43,0.3,0.866,0.7484008528784648,1091346,764217,0.29974820084556136
ERM,43,0.4,0.8629,0.7302771855010661,1091346,655174,0.3996642677940818
ERM,43,0.5,0.8548,0.7313432835820896,1091346,546129,0.4995821673419795
ERM,43,0.6,0.8501,0.7377398720682303,1091346,437087,0.5994973179908113
ERM,43,0.7,0.8385,0.6289978678038379,1091346,328044,0.6994133849393318
ERM,43,0.8,0.8208,0.6407249466950959,1091346,219001,0.7993294518878522
ERM,43,0.9,0.7213,0.27717391304347827,1091346,109958,0.8992455188363727
SAM,42,0.0,0.8742,0.7963752665245203,1091346,1091346,0.0
SAM,42,0.1,0.874,0.7953091684434968,1091346,982303,0.09991606694852045
SAM,42,0.2,0.8731,0.7942430703624733,1091346,873260,0.1998321338970409
SAM,42,0.3,0.8714,0.7835820895522388,1091346,764217,0.29974820084556136
SAM,42,0.4,0.8733,0.7953091684434968,1091346,655174,0.3996642677940818
SAM,42,0.5,0.8758,0.7857142857142857,1091346,546130,0.4995812510422909
SAM,42,0.6,0.8768,0.7718550106609808,1091346,437087,0.5994973179908113
SAM,42,0.7,0.8728,0.7633262260127932,1091346,328044,0.6994133849393318
SAM,42,0.8,0.8647,0.7388059701492538,1091346,219001,0.7993294518878522
SAM,42,0.9,0.8328,0.6811301715438951,1091346,109958,0.8992455188363727
SAM,43,0.0,0.8745,0.7953091684434968,1091346,1091346,0.0
SAM,43,0.1,0.8741,0.7910447761194029,1091346,982303,0.09991606694852045
SAM,43,0.2,0.8731,0.7867803837953091,1091346,873260,0.1998321338970409
SAM,43,0.3,0.8757,0.7953091684434968,1091346,764217,0.29974820084556136
SAM,43,0.4,0.8734,0.8038379530916845,1091346,655174,0.3996642677940818
SAM,43,0.5,0.8739,0.7927083333333333,1091346,546130,0.4995812510422909
SAM,43,0.6,0.8642,0.7579957356076759,1091346,437087,0.5994973179908113
SAM,43,0.7,0.8563,0.7707889125799574,1091346,328043,0.6994143012390205
SAM,43,0.8,0.8321,0.7104166666666667,1091346,219001,0.7993294518878522
SAM,43,0.9,0.7806,0.5791666666666667,1091346,109958,0.8992455188363727
