method,seed,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,worst_group_acc
ERM,43,1,0.7127706889747357,0.81004,0.25416624657809733,0.9245,0.3443,0.05158264947245018
ERM,43,2,0.23876673819459215,0.93,0.18823321238160134,0.945,0.6269,0.39273153575615477
ERM,43,3,0.18457090029759066,0.94616,0.16532517606392502,0.9514,0.6943,0.3212192262602579
ERM,43,4,0.1508390438952008,0.9567,0.1334145564585924,0.9618,0.7424,0.5943728018757327
ERM,43,5,0.1280369105159628,0.9623,0.12639057710766793,0.9636,0.7599,0.525
ERM,43,6,0.1109089133310683,0.96818,0.11191674657166004,0.9679,0.7861,0.6054564533053515
ERM,43,7,0.09565293406877591,0.97246,0.11122217127121985,0.9677,0.7829,0.5427901524032825
ERM,43,8,0.08398955283990624,0.97614,0.09831502544693649,0.9702,0.8215,0.7114583333333333
ERM,43,9,0.0725795414241753,0.9795,0.09447813900187611,0.9719,0.8447,0.7142857142857143
ERM,43,10,0.06427477689802039,0.98182,0.08942020677495748,0.9743,0.8418,0.7089552238805971
ERM,43,11,0.05666878732510519,0.98412,0.08576657800003887,0.9747,0.8574,0.758695652173913
ERM,43,12,0.04988509015541295,0.98648,0.08488933445187286,0.9754,0.8422,0.6891304347826087
ERM,43,13,0.04468306912375348,0.98772,0.08102192649384961,0.9761,0.8527,0.7815217391304348
ERM,43,14,0.03900864879524677,0.98986,0.08314749336568639,0.975,0.8632,0.7611940298507462
ERM,43,15,0.03428676081061059,0.99158,0.08537364288931712,0.9756,0.8581,0.7409381663113006
ERM,43,16,0.029570073080581745,0.99288,0.07932651101145893,0.9782,0.8617,0.771875
ERM,43,17,0.026686801565620973,0.9941,0.07686174722621217,0.9784,0.8701,0.8177083333333334
ERM,43,18,0.022368828884839098,0.99562,0.07817431347211823,0.9783,0.8581,0.7707889125799574
ERM,43,19,0.02014465186963504,0.99618,0.07709974242607132,0.979,0.8746,0.8197916666666667
ERM,43,20,0.01741830807188716,0.99696,0.07598023524042219,0.9779,0.8665,0.7473347547974414
