method,seed,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,worst_group_acc
SAM,43,1,0.7815758893076254,0.8098,0.2637970089912415,0.9215,0.2912,0.031652989449003514
SAM,43,2,0.2890202527751728,0.92908,0.19052442517131568,0.9428,0.6001,0.369284876905041
SAM,43,3,0.2249144892759469,0.9469,0.1625823002308607,0.953,0.6751,0.30246189917936694
SAM,43,4,0.18737929664096054,0.95736,0.13398079848848282,0.9609,0.7283,0.5760416666666667
SAM,43,5,0.16189617591396888,0.96406,0.12661143098957836,0.9632,0.7487,0.5206521739130435
SAM,43,6,0.1436419204561686,0.96958,0.10853882222436369,0.9688,0.7847,0.6180482686253935
SAM,43,7,0.12817604664941223,0.97366,0.10539373834617435,0.9693,0.7941,0.5908558030480656
SAM,43,8,0.11446305166701881,0.97744,0.09455598313361406,0.9718,0.822,0.6833333333333333
SAM,43,9,0.10358761621601119,0.98064,0.08961836460512132,0.9732,0.8413,0.7238805970149254
SAM,43,10,0.09450634825518545,0.98272,0.08656972064636648,0.9743,0.8379,0.7089552238805971
SAM,43,11,0.08727324880393487,0.9847,0.08200474081095308,0.9749,0.8522,0.7402173913043478
SAM,43,12,0.07995716874886837,0.98656,0.07996761461254209,0.9751,0.8493,0.717391304347826
SAM,43,13,0.07383752032658275,0.9888,0.07773999959463254,0.977,0.8529,0.7336956521739131
SAM,43,14,0.06801711381127944,0.99018,0.07553325582994148,0.9781,0.8674,0.7760869565217391
SAM,43,15,0.06284149326574133,0.99148,0.07777177367825061,0.9765,0.8625,0.7196162046908315
SAM,43,16,0.05829556236917875,0.99226,0.07351690569194033,0.9786,0.8658,0.7706521739130435
SAM,43,17,0.054842107729720216,0.99352,0.07001047989469952,0.9793,0.8686,0.8083333333333333
SAM,43,18,0.04965402720952217,0.9946,0.07037337740766816,0.9812,0.865,0.7718550106609808
SAM,43,19,0.04664448110804874,0.99528,0.06899420688860118,0.9807,0.8735,0.8197916666666667
SAM,43,20,0.04331051893722342,0.99596,0.06678095645620488,0.9799,0.8745,0.7953091684434968
