condition,seed,overall_acc,asymmetric_acc,symmetric_acc,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
baseline,42,99.17937177233331,98.98555466494979,99.56501789491814,99.89795918367346,99.82378854625551,99.2248062015504,99.3069306930693,99.18533604887983,98.99103139013454,98.8517745302714,99.12451361867704,98.97330595482546,98.41427155599604
baseline,123,99.21988347894114,99.03589248091755,99.5654369537121,99.6938775510204,99.82378854625551,99.32170542635659,99.5049504950495,99.28716904276986,98.99103139013454,98.95615866388309,99.0272373540856,99.17864476386036,98.41427155599604
baseline,456,99.18945168378512,99.01943059423608,99.46297707859162,99.59183673469387,99.82378854625551,99.4186046511628,99.4059405940594,99.38900203665987,99.10313901345292,98.74739039665971,99.0272373540856,98.97330595482546,98.41427155599604
baseline,789,99.12008743167566,98.95744608748198,99.38967624969824,99.59183673469387,99.91189427312776,99.2248062015504,99.4059405940594,99.28716904276986,99.2152466367713,98.8517745302714,98.92996108949417,98.66529774127311,98.1169474727453
baseline,1011,99.1799389605022,98.95480803455126,99.52656878905485,99.59183673469387,99.91189427312776,99.2248062015504,99.4059405940594,99.4908350305499,99.2152466367713,98.53862212943632,98.92996108949417,99.07597535934292,98.41427155599604
flip30,42,98.90165327332434,98.46646574790809,99.60957873637835,99.59183673469387,99.64757709251101,98.44961240310077,99.5049504950495,99.38900203665987,97.98206278026906,97.80793319415449,98.54085603112841,99.58932238193019,98.51337958374629
flip30,123,98.83747291974706,98.47428550289665,99.41394904577358,99.59183673469387,99.47136563876651,98.44961240310077,99.3069306930693,99.28716904276986,98.4304932735426,97.7035490605428,98.54085603112841,99.17864476386036,98.41427155599604
flip30,456,98.81619131402923,98.47737088407563,99.43867259157958,99.48979591836735,99.64757709251101,98.25581395348837,99.20792079207921,98.98167006109979,98.4304932735426,98.01670146137788,98.63813229571986,99.17864476386036,98.31516352824579
flip30,789,98.80390633088976,98.47154556291581,99.44331762139767,99.59183673469387,99.55947136563876,98.54651162790698,99.3069306930693,98.87983706720978,98.09417040358744,98.12108559498957,98.34630350194551,99.17864476386036,98.41427155599604
flip30,1011,98.79450591363063,98.50721290307597,99.34064821688021,99.59183673469387,99.55947136563876,98.74031007751938,99.20792079207921,98.87983706720978,98.20627802690582,98.22546972860125,98.24902723735408,98.870636550308,98.41427155599604
flip50,42,98.59416080064689,98.10270963569305,99.41394904577358,99.59183673469387,99.47136563876651,97.86821705426357,99.3069306930693,99.08350305498982,97.98206278026906,97.39039665970772,98.24902723735408,99.17864476386036,97.81962338949455
flip50,123,98.4126276168514,97.8706443104121,99.3408577462772,99.48979591836735,99.55947136563876,97.57751937984496,98.8118811881188,98.87983706720978,97.08520179372198,97.28601252609603,98.34630350194551,98.97330595482546,98.1169474727453
flip50,456,98.48659177511281,98.06173644248207,99.307053670232,99.28571428571429,99.55947136563876,97.57751937984496,99.10891089108911,98.57433808553971,97.42152466367713,97.59916492693111,98.24902723735408,99.07597535934292,98.41427155599604
flip50,789,98.49923518002434,98.04643717309709,99.31190822944706,99.28571428571429,99.47136563876651,98.25581395348837,99.10891089108911,98.77800407331976,97.6457399103139,97.39039665970772,97.85992217898833,99.17864476386036,98.01783944499505
flip50,1011,98.4234416931076,97.85219139523645,99.34592183488923,99.38775510204081,99.47136563876651,97.28682170542635,99.20792079207921,99.08350305498982,97.6457399103139,97.39039665970772,97.76264591439688,99.17864476386036,97.81962338949455
flip90,42,96.45304753380435,94.97210634738092,98.87755471255612,98.87755102040816,99.29515418502203,91.76356589147287,97.82178217821782,98.06517311608961,92.71300448430493,94.98956158663883,95.91439688715954,98.4599589322382,96.63032705649157
flip90,123,96.4008994265627,94.79741724800307,99.053105887173,99.08163265306122,99.20704845814979,93.6046511627907,96.23762376237623,98.06517311608961,91.92825112107623,94.57202505219206,96.10894941634241,98.870636550308,96.33300297324084
flip90,456,96.42488700485136,95.00524767563138,98.8192366201019,98.67346938775509,99.11894273127754,92.63565891472868,97.02970297029702,97.75967413441956,93.04932735426009,94.57202505219206,95.8171206225681,98.66529774127311,96.92765113974232
flip90,789,96.34755014515824,94.82540177545843,98.8532502255441,98.77551020408163,99.11894273127754,92.63565891472868,96.63366336633663,97.9633401221996,92.152466367713,94.98956158663883,96.10894941634241,98.66529774127311,96.43211100099109
flip90,1011,96.44695544005349,94.85963238444693,99.04825132795794,99.08163265306122,99.29515418502203,92.53875968992247,96.73267326732673,98.16700610997964,92.152466367713,95.19832985386222,96.40077821011673,98.76796714579056,96.13478691774033
rotation,42,99.20231939325915,99.08974956227125,99.39917583873142,99.6938775510204,99.73568281938327,99.4186046511628,99.3069306930693,99.28716904276986,99.2152466367713,98.95615866388309,98.92996108949417,98.76796714579056,98.71159563924678
rotation,123,99.2128756189867,99.05632201017363,99.39938536812838,99.59183673469387,99.73568281938327,99.4186046511628,99.20792079207921,99.59266802443992,99.10313901345292,99.16492693110646,98.92996108949417,98.870636550308,98.51337958374629
rotation,456,99.18199942890263,98.97303120106245,99.49699068403379,99.6938775510204,99.82378854625551,99.2248062015504,99.10891089108911,99.4908350305499,99.10313901345292,98.95615866388309,98.83268482490273,98.97330595482546,98.61248761149653
rotation,789,99.26154833916263,99.07399090177489,99.49234565421568,99.59183673469387,99.91189427312776,99.03100775193798,99.3069306930693,99.69450101832994,99.10313901345292,99.16492693110646,99.0272373540856,98.97330595482546,98.81070366699703
rotation,1011,99.16881883563892,99.00444195924824,99.45812251937654,99.59183673469387,99.91189427312776,99.2248062015504,99.3069306930693,99.28716904276986,98.99103139013454,99.06054279749478,98.92996108949417,98.870636550308,98.51337958374629
