bn_count,ln_count,gn_count,no_norm_flag,param_mass_ratio,model_name,family,edge_case_family,edge_family
0,0,0,1,1.0,dm_nfnet_f0,Unknown,NormFree,CNN
245,0,0,0,1.0,seresnet50,CNN,SENet,CNN
755,0,0,0,1.0,senet154,CNN,SENet,CNN
245,0,0,0,0.9196954449750679,legacy_seresnet50,Unknown,SENet,CNN
400,0,0,0,1.0,regnetx_032,CNN,RegNet,CNN
340,0,0,0,1.0,regnety_032,CNN,RegNet,CNN
355,0,0,0,1.0,regnetx_160,Unknown,RegNet,CNN
295,0,0,0,1.0,regnety_160,Unknown,RegNet,CNN
370,0,0,0,1.0,regnetx_320,Unknown,RegNet,CNN
0,0,0,1,0.003576033279003576,vit_huge_patch14_224,Unknown,ViT-Extreme,Transformer
0,0,0,1,0.030303030303030304,vit_large_patch32_224,Unknown,Unknown,Unknown
0,0,0,1,0.007730518941281273,beit_large_patch16_224,Unknown,ViT-Extreme,Transformer
