model_name,family,bn_count,ln_count,gn_count,no_norm_flag,param_mass_ratio
xcit_small_12_p16_224,Transformer,60,0,0,0,0.10606257437267139
mixer_l16_224,Hybrid,0,0,0,1,1.0
resnet18,CNN,85,0,0,0,1.0
swin_small_patch4_window7_224,Transformer,0,0,0,1,0.0002662872997254259
densenet121,CNN,0,0,0,1,1.0
deit_small_patch16_224,Transformer,0,0,0,1,0.04
swin_tiny_patch4_window7_224,Transformer,0,0,0,1,0.00045165869892889845
tnt_s_patch16_224,Hybrid,0,0,0,1,0.0004333965259147193
resnet50,CNN,245,0,0,0,1.0
inception_v4,CNN,745,0,0,0,0.9639569014649267
pit_b_224,Hybrid,0,0,0,1,0.016911601801934864
crossvit_base_240,Transformer,0,0,0,1,0.017484008528784647
pit_s_224,Hybrid,0,0,0,1,0.029049839860650673
resnetv2_50x1_bit_distilled,Hybrid,0,0,0,1,1.0
wide_resnet50_2,CNN,245,0,0,0,1.0
vgg19,CNN,0,0,0,1,1.0
cait_xxs24_224,Hybrid,0,0,0,1,0.03702989392478303
twins_svt_base,Transformer,0,0,0,1,0.3389984604754343
levit_256,Transformer,320,264,0,0,0.021800619104853775
resnet152,CNN,755,0,0,0,1.0
dpn68,CNN,360,0,0,0,1.0
vit_large_patch16_224,Transformer,0,0,0,1,0.007751937984496124
poolformer_m48,Transformer,0,0,0,1,1.0
deit_base_distilled_patch16_224,Transformer,0,0,0,1,0.02040816326530612
swin_base_patch4_window7_224,Transformer,0,0,0,1,0.00019986639139929114
convnext_tiny,CNN,0,0,0,1,1.0
vit_tiny_patch16_224,Transformer,0,0,0,1,0.07692307692307693
convnext_base_in22k,Hybrid,0,0,0,1,1.0
coat_lite_medium,Transformer,0,0,0,1,0.09676739083708802
vit_small_patch16_224,Transformer,0,0,0,1,0.04
mobilenetv3_large_100,CNN,230,0,0,0,1.0
convit_base,Hybrid,0,0,0,1,0.020407824327960115
densenet201,CNN,0,0,0,1,1.0
regnetx_032,CNN,400,0,0,0,1.0
seresnet50,CNN,245,0,0,0,1.0
regnety_032,CNN,340,0,0,0,1.0
resnet101,CNN,500,0,0,0,1.0
twins_pcpvt_base,Transformer,0,0,0,1,0.48187340779933374
resnet34,CNN,165,0,0,0,1.0
convnext_base,CNN,0,0,0,1,1.0
