sample_id,annotator_id,judgment
22538,1,False
22538,2,True
22538,3,True
124572,1,True
124572,2,True
124572,3,False
15425,1,False
15425,2,False
15425,3,True
7719,1,False
7719,2,False
7719,3,False
110151,1,True
110151,2,True
110151,3,True
146812,1,False
146812,2,False
146812,3,False
18335,1,False
18335,2,False
18335,3,False
24940,1,False
24940,2,False
24940,3,False
108981,1,False
108981,2,False
108981,3,True
146684,1,True
146684,2,True
146684,3,True
18390,1,True
18390,2,True
18390,3,False
16694,1,True
16694,2,True
16694,3,True
142068,1,False
142068,2,True
142068,3,False
110731,1,True
110731,2,False
110731,3,True
57616,1,True
57616,2,True
57616,3,True
94281,1,True
94281,2,True
94281,3,True
62946,1,True
62946,2,True
62946,3,True
32847,1,False
32847,2,True
32847,3,True
77398,1,True
77398,2,True
77398,3,True
64831,1,False
64831,2,False
64831,3,False
68408,1,False
68408,2,False
68408,3,False
70394,1,True
70394,2,True
70394,3,True
11221,1,False
11221,2,False
11221,3,False
15993,1,False
15993,2,False
15993,3,False
21186,1,False
21186,2,False
21186,3,False
145646,1,True
145646,2,True
145646,3,True
48993,1,False
48993,2,False
48993,3,False
17674,1,True
17674,2,True
17674,3,True
137711,1,False
137711,2,False
137711,3,True
120847,1,False
120847,2,True
120847,3,False
55829,1,True
55829,2,False
55829,3,False
34846,1,True
34846,2,True
34846,3,False
109540,1,True
109540,2,True
109540,3,True
146442,1,True
146442,2,False
146442,3,True
34757,1,False
34757,2,False
34757,3,True
117799,1,False
117799,2,False
117799,3,False
13900,1,True
13900,2,True
13900,3,True
77557,1,True
77557,2,False
77557,3,True
39232,1,True
39232,2,False
39232,3,True
57765,1,False
57765,2,False
57765,3,False
54964,1,True
54964,2,True
54964,3,True
80788,1,True
80788,2,True
80788,3,True
15205,1,True
15205,2,True
15205,3,True
133634,1,False
133634,2,False
133634,3,False
156647,1,False
156647,2,True
156647,3,False
53193,1,True
53193,2,False
53193,3,False
120906,1,True
120906,2,True
120906,3,True
160299,1,False
160299,2,False
160299,3,True
21554,1,False
21554,2,False
21554,3,False
77063,1,True
77063,2,True
77063,3,False
158354,1,False
158354,2,False
158354,3,True
116592,1,False
116592,2,False
116592,3,False
70016,1,True
70016,2,True
70016,3,True
28069,1,False
28069,2,False
28069,3,False
7223,1,True
7223,2,True
7223,3,True
156991,1,False
156991,2,False
156991,3,False
2397,1,True
2397,2,False
2397,3,True
33309,1,False
33309,2,False
33309,3,False
77527,1,False
77527,2,False
77527,3,False
8915,1,True
8915,2,True
8915,3,True
51121,1,True
51121,2,True
51121,3,False
38249,1,False
38249,2,True
38249,3,False
147238,1,True
147238,2,False
147238,3,False
131144,1,False
131144,2,False
131144,3,False
135457,1,False
135457,2,False
135457,3,False
124355,1,True
124355,2,False
124355,3,False
809,1,False
809,2,False
809,3,False
71128,1,True
71128,2,True
71128,3,True
36464,1,True
36464,2,False
36464,3,False
9267,1,False
9267,2,False
9267,3,False
51569,1,False
51569,2,False
