17:50:32 INFO run_experiment: H-E1 pipeline starting | n_docs=10000000 | quick=False
17:50:32 INFO run_experiment: Directories ready.
17:50:32 INFO corpus_filter: Loading base corpus (10000000 docs)…
17:50:32 INFO datasets: PyTorch version 2.10.0 available.
17:50:32 INFO corpus_filter: Streaming 10000000 docs from mlfoundations/dclm-baseline-1.0
17:50:33 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0 "HTTP/1.1 200 OK"
17:50:34 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0 "HTTP/1.1 200 OK"
17:50:35 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/revision/a3b142c183aebe5af344955ae20836eb34dcf69b "HTTP/1.1 200 OK"
17:50:36 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"
17:50:36 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?recursive=false&expand=false "HTTP/1.1 200 OK"
17:50:36 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?recursive=true&expand=false "HTTP/1.1 200 OK"
17:50:37 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURGZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk0xOXZabDh4TUM5emFHRnlaRjh3TURBd01EQTFNRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxMDAw "HTTP/1.1 200 OK"
17:50:37 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURGZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5sOXZabDh4TUM5emFHRnlaRjh3TURBd01ESXhNMTl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyMDAw "HTTP/1.1 200 OK"
