did,fair_aggregate,fair_F,fair_A,fair_I,fair_R,status,upload_date,NumberOfInstances,NumberOfFeatures,MajorityClassPercentage,upload_date_ordinal
44344,0.31530550327667256,0.31530550327667256,0.31530550327667256,0.31530550327667256,0.31530550327667256,fallback,,150.0,5.0,,
46315,0.48969817901243357,0.48969817901243357,0.48969817901243357,0.48969817901243357,0.48969817901243357,fallback,,145460.0,23.0,,
45627,0.2694143422301654,0.2694143422301654,0.2694143422301654,0.2694143422301654,0.2694143422301654,fallback,,14.0,5.0,,
42871,0.3231617522417,0.3231617522417,0.3231617522417,0.3231617522417,0.3231617522417,fallback,,150.0,7.0,,
46976,0.47705938674480636,0.47705938674480636,0.47705938674480636,0.47705938674480636,0.47705938674480636,fallback,,19178.0,65.0,,
43035,0.4077416143729777,0.4077416143729777,0.4077416143729777,0.4077416143729777,0.4077416143729777,fallback,,699.0,57.0,,
47043,0.3400965562557685,0.3400965562557685,0.3400965562557685,0.3400965562557685,0.3400965562557685,fallback,,31.0,45.0,,
42626,0.37171841022557484,0.37171841022557484,0.37171841022557484,0.37171841022557484,0.37171841022557484,fallback,,891.0,12.0,,
47018,0.43249305283188494,0.43249305283188494,0.43249305283188494,0.43249305283188494,0.43249305283188494,fallback,,597.0,160.0,,
46906,0.40256692463931837,0.40256692463931837,0.40256692463931837,0.40256692463931837,0.40256692463931837,fallback,,898.0,39.0,,
46903,0.39523502886211537,0.39523502886211537,0.39523502886211537,0.39523502886211537,0.39523502886211537,fallback,,4176.0,9.0,,
42805,0.4140703776829923,0.4140703776829923,0.4140703776829923,0.4140703776829923,0.4140703776829923,fallback,,2494.0,28.0,,
44990,0.4165183107359774,0.4165183107359774,0.4165183107359774,0.4165183107359774,0.4165183107359774,fallback,,10692.0,10.0,,
45743,0.4355387608858443,0.4355387608858443,0.4355387608858443,0.4355387608858443,0.4355387608858443,fallback,,18182.0,14.0,,
44223,0.355623548755679,0.355623548755679,0.355623548755679,0.355623548755679,0.355623548755679,fallback,,442.0,11.0,,
46214,0.5539989199295391,0.5539989199295391,0.5539989199295391,0.5539989199295391,0.5539989199295391,fallback,,105217.0,319.0,,
42727,0.4473513773430126,0.4473513773430126,0.4473513773430126,0.4473513773430126,0.4473513773430126,fallback,,7063.0,45.0,,
45018,0.4364839225493651,0.4364839225493651,0.4364839225493651,0.4364839225493651,0.4364839225493651,fallback,,38474.0,8.0,,
42125,0.4201780914631752,0.4201780914631752,0.4201780914631752,0.4201780914631752,0.4201780914631752,fallback,,9228.0,13.0,,
45737,0.39221112293460014,0.39221112293460014,0.39221112293460014,0.39221112293460014,0.39221112293460014,fallback,,1484.0,18.0,,
45048,0.4491316012493684,0.4491316012493684,0.4491316012493684,0.4491316012493684,0.4491316012493684,fallback,,163065.0,4.0,,
45030,0.4487606988902639,0.4487606988902639,0.4487606988902639,0.4487606988902639,0.4487606988902639,fallback,,15000.0,27.0,,
43901,0.44009736560248086,0.44009736560248086,0.44009736560248086,0.44009736560248086,0.44009736560248086,fallback,,39926.0,9.0,,
44961,0.48870853765864647,0.48870853765864647,0.48870853765864647,0.48870853765864647,0.48870853765864647,fallback,,241600.0,15.0,,
44139,0.44500137970886805,0.44500137970886805,0.44500137970886805,0.44500137970886805,0.44500137970886805,fallback,,22784.0,17.0,,
44972,0.3833300201975259,0.3833300201975259,0.3833300201975259,0.3833300201975259,0.3833300201975259,fallback,,1599.0,12.0,,
46184,0.37527844943129574,0.37527844943129574,0.37527844943129574,0.37527844943129574,0.37527844943129574,fallback,,1066.0,12.0,,
42530,0.4162127277604213,0.4162127277604213,0.4162127277604213,0.4162127277604213,0.4162127277604213,fallback,,2778.0,28.0,,
46459,0.4473007600091315,0.4473007600091315,0.4473007600091315,0.4473007600091315,0.4473007600091315,fallback,,32862.0,14.0,,
44143,0.49594245255641606,0.49594245255641606,0.49594245255641606,0.49594245255641606,0.49594245255641606,fallback,,581835.0,10.0,,
42733,0.44727316297604053,0.44727316297604053,0.44727316297604053,0.44727316297604053,0.44727316297604053,fallback,,39948.0,12.0,,
