did,fair_aggregate,fair_F,fair_A,fair_I,fair_R,status,NumberOfInstances,NumberOfFeatures,MajorityClassPercentage
44344,0.2505202239551641,0.2505202239551641,0.2505202239551641,0.2505202239551641,0.2505202239551641,fallback,150.0,5.0,
46315,0.6404705173404571,0.6404705173404571,0.6404705173404571,0.6404705173404571,0.6404705173404571,fallback,145460.0,23.0,
45627,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,fallback,14.0,5.0,
42871,0.2796704900748585,0.2796704900748585,0.2796704900748585,0.2796704900748585,0.2796704900748585,fallback,150.0,7.0,
46976,0.66940190766597,0.66940190766597,0.66940190766597,0.66940190766597,0.66940190766597,fallback,19178.0,65.0,
43035,0.5360974267419509,0.5360974267419509,0.5360974267419509,0.5360974267419509,0.5360974267419509,fallback,699.0,57.0,
47043,0.4005733087592607,0.4005733087592607,0.4005733087592607,0.4005733087592607,0.4005733087592607,fallback,31.0,45.0,
42626,0.39336355524144057,0.39336355524144057,0.39336355524144057,0.39336355524144057,0.39336355524144057,fallback,891.0,12.0,
47018,0.6338306425259316,0.6338306425259316,0.6338306425259316,0.6338306425259316,0.6338306425259316,fallback,597.0,160.0,
46906,0.5075330608989388,0.5075330608989388,0.5075330608989388,0.5075330608989388,0.5075330608989388,fallback,898.0,39.0,
