13:32:34 [INFO] h-m2: ============================================================
13:32:34 [INFO] h-m2: H-M2: NFN Equivariant Encoder Permutation Sensitivity Probing
13:32:34 [INFO] h-m2: ============================================================
13:32:34 [INFO] h-m2: [H-M2] Using device: cuda
13:32:34 [INFO] h-m2: Step 1: Loading NFN dataset...
13:32:34 [INFO] h-m2: Loading ../../.data_cache/datasets/mnist_hyp_rand/dataset_mnist_hyp_rand.pt
13:33:49 [INFO] h-m2:   trainset: 1589 final-epoch checkpoints (max_iter=50)
13:33:49 [INFO] h-m2:   valset: 322 final-epoch checkpoints (max_iter=50)
13:33:49 [INFO] h-m2:   testset: 338 final-epoch checkpoints (max_iter=50)
13:33:51 [INFO] h-m2: Total checkpoints: 2249 (train=1589, val=322, test=338)
13:33:51 [INFO] h-m2: Discovered 10 weight keys: ['module_list.0.weight', 'module_list.0.bias', 'module_list.3.weight', 'module_list.3.bias', 'module_list.6.weight', 'module_list.6.bias', 'module_list.9.weight', 'module_list.9.bias', 'module_list.11.weight', 'module_list.11.bias']
13:33:51 [INFO] h-m2: Computing z-score normalization from training set...
Computing stats:   0%|          | 0/1589 [00:00<?, ?it/s]Computing stats: 100%|██████████| 1589/1589 [00:00<00:00, 50758.54it/s]
13:33:51 [INFO] h-m2: input_dim=2464, mean.norm=1.9050
13:33:51 [INFO] h-m2:   train=1589, val=322, test=338, total=2249, keys=10
13:33:51 [INFO] h-m2: Step 2: Grid-searching NFNEncoder (~500K params)...
13:33:51 [INFO] h-m2: [H-M2] Grid search: channel_dim=96, n_layers=2, params=200,705
13:33:51 [INFO] h-m2: [H-M2] Grid search: channel_dim=96, n_layers=3, params=385,985
13:33:51 [INFO] h-m2: [H-M2] Grid search: channel_dim=96, n_layers=4, params=571,265
13:33:51 [INFO] h-m2: [H-M2] Grid search: channel_dim=112, n_layers=2, params=269,953
13:33:51 [INFO] h-m2: [H-M2] Grid search: channel_dim=112, n_layers=3, params=521,953
13:33:51 [INFO] h-m2: [H-M2] Selected: channel_dim=112, n_layers=3, params=521,953
13:33:51 [INFO] h-m2:   channel_dim=112, n_layers=3, params=521,953
13:33:51 [INFO] h-m2: Step 3: Training NFNWithHead (150 epochs)...
13:33:53 [INFO] h-m2: [H-M2] Epoch 1/150: train_loss=0.1152, val_loss=0.0653, val_rho=0.2808
13:33:54 [INFO] h-m2: [H-M2] Epoch 2/150: train_loss=0.0526, val_loss=0.0446, val_rho=0.2808
13:33:54 [INFO] h-m2: [H-M2] Epoch 3/150: train_loss=0.0369, val_loss=0.0357, val_rho=0.2808
13:33:55 [INFO] h-m2: [H-M2] Epoch 4/150: train_loss=0.0306, val_loss=0.0298, val_rho=0.2808
13:33:56 [INFO] h-m2: [H-M2] Epoch 5/150: train_loss=0.0259, val_loss=0.0281, val_rho=0.2808
13:33:56 [INFO] h-m2: [H-M2] Epoch 6/150: train_loss=0.0214, val_loss=0.0184, val_rho=0.2808
13:33:57 [INFO] h-m2: [H-M2] Epoch 7/150: train_loss=0.0163, val_loss=0.0186, val_rho=0.2808
13:33:57 [INFO] h-m2: [H-M2] Epoch 8/150: train_loss=0.0137, val_loss=0.0121, val_rho=0.2808
13:33:58 [INFO] h-m2: [H-M2] Epoch 9/150: train_loss=0.0132, val_loss=0.0110, val_rho=0.2808
13:33:59 [INFO] h-m2: [H-M2] Epoch 10/150: train_loss=0.0116, val_loss=0.0099, val_rho=0.6192
13:33:59 [INFO] h-m2: [H-M2] Epoch 11/150: train_loss=0.0111, val_loss=0.0100, val_rho=0.6192
13:34:00 [INFO] h-m2: [H-M2] Epoch 12/150: train_loss=0.0100, val_loss=0.0093, val_rho=0.6192
13:34:00 [INFO] h-m2: [H-M2] Epoch 13/150: train_loss=0.0083, val_loss=0.0084, val_rho=0.6192
13:34:01 [INFO] h-m2: [H-M2] Epoch 14/150: train_loss=0.0098, val_loss=0.0099, val_rho=0.6192
13:34:01 [INFO] h-m2: [H-M2] Epoch 15/150: train_loss=0.0084, val_loss=0.0079, val_rho=0.6192
13:34:02 [INFO] h-m2: [H-M2] Epoch 16/150: train_loss=0.0080, val_loss=0.0103, val_rho=0.6192
13:34:03 [INFO] h-m2: [H-M2] Epoch 17/150: train_loss=0.0087, val_loss=0.0080, val_rho=0.6192
13:34:03 [INFO] h-m2: [H-M2] Epoch 18/150: train_loss=0.0084, val_loss=0.0079, val_rho=0.6192
13:34:04 [INFO] h-m2: [H-M2] Epoch 19/150: train_loss=0.0072, val_loss=0.0085, val_rho=0.6192
13:34:04 [INFO] h-m2: [H-M2] Epoch 20/150: train_loss=0.0077, val_loss=0.0084, val_rho=0.6250
13:34:05 [INFO] h-m2: [H-M2] Epoch 21/150: train_loss=0.0082, val_loss=0.0099, val_rho=0.6250
13:34:05 [INFO] h-m2: [H-M2] Epoch 22/150: train_loss=0.0080, val_loss=0.0083, val_rho=0.6250
13:34:06 [INFO] h-m2: [H-M2] Epoch 23/150: train_loss=0.0081, val_loss=0.0075, val_rho=0.6250
13:34:06 [INFO] h-m2: [H-M2] Epoch 24/150: train_loss=0.0077, val_loss=0.0065, val_rho=0.6250
13:34:07 [INFO] h-m2: [H-M2] Epoch 25/150: train_loss=0.0072, val_loss=0.0061, val_rho=0.6250
13:34:08 [INFO] h-m2: [H-M2] Epoch 26/150: train_loss=0.0086, val_loss=0.0063, val_rho=0.6250
13:34:08 [INFO] h-m2: [H-M2] Epoch 27/150: train_loss=0.0075, val_loss=0.0067, val_rho=0.6250
13:34:09 [INFO] h-m2: [H-M2] Epoch 28/150: train_loss=0.0089, val_loss=0.0073, val_rho=0.6250
13:34:09 [INFO] h-m2: [H-M2] Epoch 29/150: train_loss=0.0067, val_loss=0.0072, val_rho=0.6250
13:34:10 [INFO] h-m2: [H-M2] Epoch 30/150: train_loss=0.0068, val_loss=0.0083, val_rho=0.7325
13:34:10 [INFO] h-m2: [H-M2] Epoch 31/150: train_loss=0.0078, val_loss=0.0080, val_rho=0.7325
13:34:11 [INFO] h-m2: [H-M2] Epoch 32/150: train_loss=0.0073, val_loss=0.0145, val_rho=0.7325
13:34:12 [INFO] h-m2: [H-M2] Epoch 33/150: train_loss=0.0078, val_loss=0.0088, val_rho=0.7325
13:34:12 [INFO] h-m2: [H-M2] Epoch 34/150: train_loss=0.0076, val_loss=0.0091, val_rho=0.7325
13:34:13 [INFO] h-m2: [H-M2] Epoch 35/150: train_loss=0.0070, val_loss=0.0071, val_rho=0.7325
13:34:13 [INFO] h-m2: [H-M2] Epoch 36/150: train_loss=0.0075, val_loss=0.0065, val_rho=0.7325
13:34:14 [INFO] h-m2: [H-M2] Epoch 37/150: train_loss=0.0071, val_loss=0.0112, val_rho=0.7325
13:34:14 [INFO] h-m2: [H-M2] Epoch 38/150: train_loss=0.0079, val_loss=0.0074, val_rho=0.7325
13:34:15 [INFO] h-m2: [H-M2] Epoch 39/150: train_loss=0.0070, val_loss=0.0086, val_rho=0.7325
13:34:15 [INFO] h-m2: [H-M2] Epoch 40/150: train_loss=0.0080, val_loss=0.0070, val_rho=0.7123
13:34:16 [INFO] h-m2: [H-M2] Epoch 41/150: train_loss=0.0070, val_loss=0.0082, val_rho=0.7123
13:34:17 [INFO] h-m2: [H-M2] Epoch 42/150: train_loss=0.0075, val_loss=0.0065, val_rho=0.7123
13:34:17 [INFO] h-m2: [H-M2] Epoch 43/150: train_loss=0.0067, val_loss=0.0066, val_rho=0.7123
13:34:18 [INFO] h-m2: [H-M2] Epoch 44/150: train_loss=0.0064, val_loss=0.0067, val_rho=0.7123
13:34:18 [INFO] h-m2: [H-M2] Epoch 45/150: train_loss=0.0071, val_loss=0.0071, val_rho=0.7123
13:34:19 [INFO] h-m2: [H-M2] Epoch 46/150: train_loss=0.0065, val_loss=0.0068, val_rho=0.7123
