12:52:16 [INFO] h-m1: ============================================================
12:52:16 [INFO] h-m1: H-M1: Flat MLP Encoder Permutation Sensitivity Probing
12:52:16 [INFO] h-m1: ============================================================
12:52:16 [INFO] h-m1: [H-M1] Using device: cuda
12:52:16 [INFO] h-m1: Step 1: Loading dataset...
12:52:16 [INFO] h-m1: Loading ../../.data_cache/datasets/mnist_hyp_rand/dataset_mnist_hyp_rand.pt
12:53:30 [INFO] h-m1:   trainset: 1589 final-epoch checkpoints (max_iter=50)
12:53:30 [INFO] h-m1:   valset: 322 final-epoch checkpoints (max_iter=50)
12:53:30 [INFO] h-m1:   testset: 338 final-epoch checkpoints (max_iter=50)
12:53:32 [INFO] h-m1: Total checkpoints: 2249 (train=1589, val=322, test=338)
12:53:32 [INFO] h-m1: Computing z-score normalization from training set...

Computing stats:   0%|          | 0/1589 [00:00<?, ?it/s]
Computing stats: 100%|██████████| 1589/1589 [00:00<00:00, 54435.89it/s]
12:53:32 [INFO] h-m1: input_dim=2464, mean.norm=1.9050
12:53:32 [INFO] h-m1:   train=1589, val=322, test=338, total=2249
12:53:32 [INFO] h-m1: Step 2: Grid-searching FlatMLPEncoder (~500K params)...
12:53:32 [INFO] h-m1: [H-M1] Grid search: hidden_dims=[193], params=500,577
12:53:32 [INFO] h-m1: [H-M1] Selected hidden_dims=[193], params=500,577
12:53:32 [INFO] h-m1:   hidden_dims=[193], params=500,577
12:53:32 [INFO] h-m1: Step 3: Training FlatMLPWithHead (150 epochs)...
12:53:33 [INFO] h-m1: [H-M1] Epoch 1/150: train_loss=0.2251, val_loss=0.1461, val_rho=0.1762
12:53:33 [INFO] h-m1: [H-M1] Epoch 2/150: train_loss=0.1160, val_loss=0.1355, val_rho=0.1762
12:53:33 [INFO] h-m1: [H-M1] Epoch 3/150: train_loss=0.1222, val_loss=0.1229, val_rho=0.1762
12:53:34 [INFO] h-m1: [H-M1] Epoch 4/150: train_loss=0.1381, val_loss=0.1174, val_rho=0.1762
12:53:34 [INFO] h-m1: [H-M1] Epoch 5/150: train_loss=0.1614, val_loss=0.1540, val_rho=0.1762
12:53:34 [INFO] h-m1: [H-M1] Epoch 6/150: train_loss=0.0840, val_loss=0.1052, val_rho=0.1762
12:53:34 [INFO] h-m1: [H-M1] Epoch 7/150: train_loss=0.0608, val_loss=0.1201, val_rho=0.1762
12:53:34 [INFO] h-m1: [H-M1] Epoch 8/150: train_loss=0.0321, val_loss=0.1283, val_rho=0.1762
12:53:34 [INFO] h-m1: [H-M1] Epoch 9/150: train_loss=0.0214, val_loss=0.1315, val_rho=0.1762
12:53:34 [INFO] h-m1: [H-M1] Epoch 10/150: train_loss=0.0156, val_loss=0.1276, val_rho=0.3004
12:53:34 [INFO] h-m1: [H-M1] Epoch 11/150: train_loss=0.0114, val_loss=0.1275, val_rho=0.3004
12:53:34 [INFO] h-m1: [H-M1] Epoch 12/150: train_loss=0.0107, val_loss=0.1298, val_rho=0.3004
12:53:34 [INFO] h-m1: [H-M1] Epoch 13/150: train_loss=0.0107, val_loss=0.1308, val_rho=0.3004
12:53:35 [INFO] h-m1: [H-M1] Epoch 14/150: train_loss=0.0109, val_loss=0.1361, val_rho=0.3004
12:53:35 [INFO] h-m1: [H-M1] Epoch 15/150: train_loss=0.0100, val_loss=0.1322, val_rho=0.3004
12:53:35 [INFO] h-m1: [H-M1] Epoch 16/150: train_loss=0.0104, val_loss=0.1382, val_rho=0.3004
12:53:35 [INFO] h-m1: [H-M1] Epoch 17/150: train_loss=0.0104, val_loss=0.1441, val_rho=0.3004
12:53:35 [INFO] h-m1: [H-M1] Epoch 18/150: train_loss=0.0098, val_loss=0.1381, val_rho=0.3004
12:53:35 [INFO] h-m1: [H-M1] Epoch 19/150: train_loss=0.0087, val_loss=0.1392, val_rho=0.3004
12:53:35 [INFO] h-m1: [H-M1] Epoch 20/150: train_loss=0.0087, val_loss=0.1497, val_rho=0.2965
12:53:35 [INFO] h-m1: [H-M1] Epoch 21/150: train_loss=0.0082, val_loss=0.1467, val_rho=0.2965
12:53:35 [INFO] h-m1: [H-M1] Epoch 22/150: train_loss=0.0097, val_loss=0.1463, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 23/150: train_loss=0.0091, val_loss=0.1456, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 24/150: train_loss=0.0088, val_loss=0.1419, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 25/150: train_loss=0.0099, val_loss=0.1501, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 26/150: train_loss=0.0084, val_loss=0.1512, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 27/150: train_loss=0.0076, val_loss=0.1640, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 28/150: train_loss=0.0075, val_loss=0.1518, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 29/150: train_loss=0.0068, val_loss=0.1456, val_rho=0.2965
12:53:36 [INFO] h-m1: [H-M1] Epoch 30/150: train_loss=0.0064, val_loss=0.1468, val_rho=0.3024
12:53:36 [INFO] h-m1: [H-M1] Epoch 31/150: train_loss=0.0065, val_loss=0.1475, val_rho=0.3024
12:53:36 [INFO] h-m1: [H-M1] Epoch 32/150: train_loss=0.0063, val_loss=0.1497, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 33/150: train_loss=0.0060, val_loss=0.1512, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 34/150: train_loss=0.0065, val_loss=0.1453, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 35/150: train_loss=0.0066, val_loss=0.1493, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 36/150: train_loss=0.0063, val_loss=0.1490, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 37/150: train_loss=0.0061, val_loss=0.1400, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 38/150: train_loss=0.0056, val_loss=0.1428, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 39/150: train_loss=0.0056, val_loss=0.1493, val_rho=0.3024
12:53:37 [INFO] h-m1: [H-M1] Epoch 40/150: train_loss=0.0062, val_loss=0.1512, val_rho=0.2972
12:53:37 [INFO] h-m1: [H-M1] Epoch 41/150: train_loss=0.0060, val_loss=0.1531, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 42/150: train_loss=0.0057, val_loss=0.1488, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 43/150: train_loss=0.0052, val_loss=0.1473, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 44/150: train_loss=0.0051, val_loss=0.1469, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 45/150: train_loss=0.0051, val_loss=0.1499, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 46/150: train_loss=0.0050, val_loss=0.1480, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 47/150: train_loss=0.0049, val_loss=0.1398, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 48/150: train_loss=0.0049, val_loss=0.1510, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 49/150: train_loss=0.0050, val_loss=0.1429, val_rho=0.2972
12:53:38 [INFO] h-m1: [H-M1] Epoch 50/150: train_loss=0.0050, val_loss=0.1452, val_rho=0.2997
12:53:38 [INFO] h-m1: [H-M1] Epoch 51/150: train_loss=0.0049, val_loss=0.1475, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 52/150: train_loss=0.0048, val_loss=0.1427, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 53/150: train_loss=0.0043, val_loss=0.1382, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 54/150: train_loss=0.0047, val_loss=0.1475, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 55/150: train_loss=0.0043, val_loss=0.1440, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 56/150: train_loss=0.0048, val_loss=0.1363, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 57/150: train_loss=0.0054, val_loss=0.1460, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 58/150: train_loss=0.0052, val_loss=0.1369, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 59/150: train_loss=0.0052, val_loss=0.1399, val_rho=0.2997
12:53:39 [INFO] h-m1: [H-M1] Epoch 60/150: train_loss=0.0046, val_loss=0.1356, val_rho=0.3053
12:53:39 [INFO] h-m1: [H-M1] Epoch 61/150: train_loss=0.0046, val_loss=0.1446, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 62/150: train_loss=0.0045, val_loss=0.1342, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 63/150: train_loss=0.0041, val_loss=0.1449, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 64/150: train_loss=0.0042, val_loss=0.1324, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 65/150: train_loss=0.0042, val_loss=0.1412, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 66/150: train_loss=0.0037, val_loss=0.1366, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 67/150: train_loss=0.0036, val_loss=0.1374, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 68/150: train_loss=0.0037, val_loss=0.1348, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 69/150: train_loss=0.0039, val_loss=0.1407, val_rho=0.3053
12:53:40 [INFO] h-m1: [H-M1] Epoch 70/150: train_loss=0.0038, val_loss=0.1347, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 71/150: train_loss=0.0035, val_loss=0.1303, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 72/150: train_loss=0.0035, val_loss=0.1348, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 73/150: train_loss=0.0036, val_loss=0.1374, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 74/150: train_loss=0.0035, val_loss=0.1309, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 75/150: train_loss=0.0033, val_loss=0.1333, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 76/150: train_loss=0.0031, val_loss=0.1344, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 77/150: train_loss=0.0035, val_loss=0.1309, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 78/150: train_loss=0.0034, val_loss=0.1347, val_rho=0.3060
12:53:41 [INFO] h-m1: [H-M1] Epoch 79/150: train_loss=0.0034, val_loss=0.1313, val_rho=0.3060
12:53:42 [INFO] h-m1: [H-M1] Epoch 80/150: train_loss=0.0033, val_loss=0.1286, val_rho=0.3070
12:53:42 [INFO] h-m1: [H-M1] Epoch 81/150: train_loss=0.0033, val_loss=0.1315, val_rho=0.3070
12:53:42 [INFO] h-m1: [H-M1] Epoch 82/150: train_loss=0.0035, val_loss=0.1261, val_rho=0.3070
12:53:42 [INFO] h-m1: [H-M1] Epoch 83/150: train_loss=0.0033, val_loss=0.1271, val_rho=0.3070
12:53:42 [INFO] h-m1: [H-M1] Epoch 84/150: train_loss=0.0030, val_loss=0.1302, val_rho=0.3070
12:53:43 [INFO] h-m1: [H-M1] Epoch 85/150: train_loss=0.0035, val_loss=0.1286, val_rho=0.3070
12:53:43 [INFO] h-m1: [H-M1] Epoch 86/150: train_loss=0.0030, val_loss=0.1274, val_rho=0.3070
12:53:43 [INFO] h-m1: [H-M1] Epoch 87/150: train_loss=0.0027, val_loss=0.1267, val_rho=0.3070
