model_id,ECE,ECE_ci_lower,ECE_ci_upper,n_samples
meta-llama/Llama-2-7b-hf,0.2799422040534471,0.2555070703734394,0.3117507288756748,1172
meta-llama/Llama-2-13b-hf,0.2306878558499829,0.204877436041826,0.2596031719546476,1172
meta-llama/Llama-2-70b-hf,0.1754116353186471,0.1551693117480981,0.2047183558891369,1172
meta-llama/Llama-2-13b-chat-hf,0.3960817045948606,0.3672792596019514,0.4247546493463505,1172
meta-llama/Llama-2-70b-chat-hf,0.3825088830909535,0.3559635945870517,0.4115996357881868,1172
mistralai/Mistral-7B-v0.1,0.2290807943682102,0.2045861252194151,0.2576801587820932,1172
mistralai/Mistral-7B-Instruct-v0.2,0.3130278013668102,0.2870215040934248,0.3414177868655264,1172
lmsys/vicuna-7b-v1.5,0.3420255312731154,0.3172240507792259,0.3726566106325845,1172
meta-llama/Meta-Llama-3-8B,0.2492691416138376,0.2229888278231984,0.277525257349175,1172
meta-llama/Meta-Llama-3-70B,0.1738344912352332,0.1542298109922541,0.2024770003049062,1172
meta-llama/Meta-Llama-3-70B-Instruct,0.2521646355448166,0.2289364327109051,0.2796273351671077,1172
mistralai/Mistral-7B-v0.3,0.2333115787561422,0.2108806513279439,0.2632630010377111,1172
HuggingFaceH4/zephyr-7b-beta,0.3143708584673797,0.2894383194382706,0.3435842819529366,1172
openchat/openchat-3.5-0106,0.3012485975339712,0.2756522433254065,0.3304388336569779,1172
teknium/OpenHermes-2.5-Mistral-7B,0.3057255213170594,0.2788747059579427,0.3332223340626474,1172
Qwen/Qwen1.5-7B,0.273986042953188,0.2477624390480258,0.3035169556807611,1172
Qwen/Qwen1.5-14B,0.2628765331681935,0.2376346926921763,0.2918960286357052,1172
Qwen/Qwen1.5-7B-Chat,0.4162530753891419,0.3888317430227678,0.4454169110790519,1172
Qwen/Qwen1.5-14B-Chat,0.3543486365151781,0.3278623809628871,0.3829955088700898,1172
Qwen/Qwen2-7B,0.2361753043544943,0.211377406278469,0.2646916537917097,1172
Qwen/Qwen2-7B-Instruct,0.2988044838663872,0.2749316539063585,0.3284398645991436,1172
google/gemma-7b,0.2298421810654164,0.2078879415321337,0.2603351244152653,1172
google/gemma-7b-it,0.4088433380108964,0.3805333726250233,0.4385329937838499,1172
tiiuae/falcon-7b,0.3090302273731622,0.2804624888048473,0.339002561598457,1172
tiiuae/falcon-40b,0.2059996598655363,0.182867634133674,0.2358037694899249,1172
mosaicml/mpt-7b,0.3186076510212367,0.2905314206087216,0.348369684774637,1172
stabilityai/stablelm-zephyr-3b,0.4715302347330218,0.4425596990766767,0.500906280825622,1172
upstage/SOLAR-10.7B-v1.0,0.2469307398272912,0.2201308298200824,0.2745105165616412,1172
upstage/SOLAR-10.7B-Instruct-v1.0,0.3189299013957746,0.2942275699751676,0.3477386054376543,1172
microsoft/phi-2,0.2724157437061737,0.2463045759432184,0.3004177769332275,1172
