model_id,model_family,scale,training_regime,advglue_drop,bbh,arc_challenge,mmlu_pro,math_hard,gpqa,musr,advglue_estimated,PC1,RI,mean_confidence,ECE
meta-llama/Llama-2-7b-hf,LLaMA,7B,pretrained,0.312,0.347509113001215,0.5290102389078498,0.1860871010638297,0.0173716012084592,0.2667785234899328,0.369047619047619,False,-2.3099680929464013,0.0238073566755073,0.8080636572045762,0.2799422040534471
meta-llama/Llama-2-13b-hf,LLaMA,13B,pretrained,0.278,0.4113869119944454,0.5776450511945392,0.237782579787234,0.0151057401812688,0.2810402684563758,0.3531746031746032,False,-1.3674157608064672,0.0300853841093478,0.804116562799349,0.2306878558499829
meta-llama/Llama-2-70b-hf,LLaMA,70B+,pretrained,0.241,0.5460857490019094,0.6757679180887372,0.3717586436170212,0.0324773413897281,0.3028523489932886,0.4113756613756614,False,1.7387000953138771,0.1258188307302491,0.8434959625106716,0.1754116353186471
meta-llama/Llama-2-13b-chat-hf,LLaMA,13B,instruction-tuned,0.251,0.3317132442284325,0.5136518771331058,0.1923204787234042,0.0135951661631419,0.2315436241610738,0.3994708994708995,False,-2.616272276138253,-0.0502819200394431,0.9076725551198336,0.3960817045948606
meta-llama/Llama-2-70b-chat-hf,LLaMA,70B+,instruction-tuned,0.198,0.3022044783891685,0.5273037542662116,0.2432679521276596,0.0294561933534743,0.2642617449664429,0.3677248677248677,False,-2.2644384644717386,-0.0882470286756046,0.909812637357165,0.3825088830909535
mistralai/Mistral-7B-v0.1,Mistral,7B,pretrained,0.298,0.4422843256379101,0.6100682593856656,0.3012799202127659,0.0249244712990936,0.2919463087248322,0.4126984126984127,False,0.1988838432571295,0.1170179630982042,0.8353428555057306,0.2290807943682102
mistralai/Mistral-7B-Instruct-v0.2,Mistral,7B,instruction-tuned,0.267,0.4452352022218365,0.628839590443686,0.2716921542553192,0.0302114803625377,0.276006711409396,0.3955026455026455,False,-0.190266496966136,0.0693884269494633,0.9369337905903294,0.3130278013668102
lmsys/vicuna-7b-v1.5,LLaMA,7B,instruction-tuned,0.301,0.3917722617601111,0.5281569965870307,0.2146775265957446,0.0135951661631419,0.2583892617449664,0.421957671957672,False,-1.465961825424967,0.0488742215469579,0.8701825278601462,0.3420255312731154
meta-llama/Meta-Llama-3-8B,LLaMA,7B,pretrained,0.1520263314026193,0.4573858705085922,0.5802047781569966,0.3209773936170212,0.0453172205438066,0.3053691275167785,0.3611111111111111,True,-0.1002771105500447,-0.0417397310579719,0.8245886531126251,0.2492691416138376
meta-llama/Meta-Llama-3-70B,LLaMA,70B+,pretrained,0.0,0.6465891338309321,0.6911262798634812,0.4709109042553192,0.1858006042296072,0.3976510067114094,0.451058201058201,True,5.388736846351214,0.0407956135355366,0.8624299795278461,0.1738344912352332
meta-llama/Meta-Llama-3-70B-Instruct,LLaMA,70B+,instruction-tuned,0.0,0.6524908869987849,0.7073378839590444,0.5206948138297872,0.2447129909365558,0.2869127516778523,0.414021164021164,True,4.202474778502326,-0.0098968461648847,0.957696503413524,0.2521646355448166
mistralai/Mistral-7B-v0.3,Mistral,7B,pretrained,0.271324305412129,0.4504426314875889,0.5964163822525598,0.2952958776595745,0.0264350453172205,0.2919463087248322,0.4021164021164021,True,0.0145071428863227,0.0824633109793112,0.8267378342775185,0.2333115787561422
HuggingFaceH4/zephyr-7b-beta,Mistral,7B,instruction-tuned,0.2774364533843758,0.4306544002777295,0.5989761092150171,0.2780917553191489,0.0287009063444108,0.2902684563758389,0.3915343915343915,True,-0.2957600689093376,0.0753168303933386,0.9133469676823968,0.3143708584673797
openchat/openchat-3.5-0106,Mistral,7B,instruction-tuned,0.1848194019866675,0.4592952612393681,0.5964163822525598,0.3291223404255319,0.0649546827794562,0.3078859060402684,0.4246031746031746,True,0.8951743966917971,0.0335919039649493,0.8970101358563931,0.3012485975339712
teknium/OpenHermes-2.5-Mistral-7B,Mistral,7B,instruction-tuned,0.1924456570821107,0.4841173407394549,0.6049488054607508,0.3054355053191489,0.0506042296072507,0.2835570469798658,0.4232804232804232,True,0.5558811890950403,0.0267191645136695,0.9022164883370192,0.3057255213170594
Qwen/Qwen1.5-7B,Qwen,7B,pretrained,0.0706116938795177,0.4542614129491408,0.5477815699658704,0.2916389627659574,0.0929003021148036,0.2986577181208054,0.41005291005291,True,0.2136592925452591,-0.1097389447099706,0.8203955496864972,0.273986042953188
Qwen/Qwen1.5-14B,Qwen,13B,pretrained,0.0,0.5037319909737893,0.5750853242320819,0.3643617021276595,0.202416918429003,0.2944630872483221,0.4179894179894179,True,1.631796654324995,-0.119749467052375,0.8357541966647417,0.2628765331681935
Qwen/Qwen1.5-7B-Chat,Qwen,7B,instruction-tuned,0.0792933687115952,0.4483596597812879,0.4974402730375427,0.2951296542553192,0.0626888217522658,0.3028523489932886,0.376984126984127,True,-0.5945101825883922,-0.1355927234337949,0.9095233298145844,0.4162530753891419
Qwen/Qwen1.5-14B-Chat,Qwen,13B,instruction-tuned,0.0,0.5184863738934212,0.5725255972696246,0.3617852393617021,0.1525679758308157,0.2701342281879195,0.4391534391534391,True,1.341828351815713,-0.1321406636418489,0.9246334639360888,0.3543486365151781
Qwen/Qwen2-7B,Qwen,7B,pretrained,0.0,0.5287276514494011,0.613481228668942,0.4183011968085106,0.2039274924471299,0.3045302013422818,0.4431216931216931,True,2.720500698364059,-0.0732259480308039,0.8488763179862214,0.2361753043544943
Qwen/Qwen2-7B-Instruct,Qwen,7B,instruction-tuned,0.0,0.5507724353410867,0.6075085324232082,0.3847240691489361,0.2764350453172205,0.2978187919463087,0.3915343915343915,True,2.3382397799986205,-0.0895610789639077,0.9041812083518496,0.2988044838663872
google/gemma-7b,Gemma,7B,pretrained,0.1477781085265205,0.4339524388127061,0.6117747440273038,0.2947972074468085,0.0740181268882175,0.2869127516778523,0.4060846560846561,True,0.2394826472041622,-0.0314690223298495,0.8395139488865545,0.2298421810654164
google/gemma-7b-it,Gemma,7B,instruction-tuned,0.410785408825786,0.3619163339697969,0.4974402730375427,0.1694647606382978,0.0158610271903323,0.2843959731543624,0.4259259259259259,True,-1.665496579738238,0.1501329247096345,0.9039606657546408,0.4088433380108964
tiiuae/falcon-7b,Falcon,7B,pretrained,0.3406848231690223,0.3249435861829543,0.4854948805460751,0.112533244680851,0.0098187311178247,0.2449664429530201,0.376984126984127,True,-3.3402865845811816,0.0084636468320012,0.7945251079192375,0.3090302273731622
tiiuae/falcon-40b,Falcon,70B+,pretrained,0.28929728046957,0.4009720534629404,0.6177474402730375,0.2504986702127659,0.0181268882175226,0.273489932885906,0.3624338624338624,True,-1.0797992644739445,0.0536733615881811,0.8232653467400965,0.2059996598655363
mosaicml/mpt-7b,MPT,7B,pretrained,0.3256125364274838,0.3270265578892553,0.4718430034129693,0.120595079787234,0.0158610271903323,0.2600671140939597,0.3664021164021164,True,-3.2622440226545497,-0.0032736521925673,0.7890547082802328,0.3186076510212367
stabilityai/stablelm-zephyr-3b,StableLM,7B,instruction-tuned,0.139627406130145,0.3830932129838569,0.4343003412969283,0.1767785904255319,0.0430513595166163,0.2390939597315436,0.4179894179894179,True,-2.474422842428375,-0.1555928712952804,0.90583057602995,0.4715302347330218
upstage/SOLAR-10.7B-v1.0,SOLAR,13B,pretrained,0.2163784914680475,0.5065092865821906,0.5998293515358362,0.3400099734042553,0.0264350453172205,0.2810402684563758,0.4365079365079365,True,0.8159328176992166,0.0617647682111557,0.8429202223497343,0.2469307398272912
upstage/SOLAR-10.7B-Instruct-v1.0,SOLAR,13B,instruction-tuned,0.1885333844482526,0.5143204304808193,0.6194539249146758,0.3138297872340425,0.0566465256797583,0.3087248322147651,0.3888888888888889,True,0.8461228639417763,0.0352097704715808,0.9367102308682111,0.3189299013957746
microsoft/phi-2,Phi,7B,pretrained,0.251773165429997,0.4868946363478563,0.5964163822525598,0.2627992021276595,0.0294561933534743,0.2718120805369127,0.41005291005291,True,-0.1148018253134839,0.0573864192792149,0.8653968538558814,0.2724157437061737
